message,product_price,player,round,decision,counteroffer
"Hello Bob, I'm excited to offer you an incredible opportunity to purchase this unique product. It's a one-of-a-kind item that I'm sure you'll love. I'm willing to sell it to you for $15000. Let me know if you're interested!",15000.0,Alice,1,,
,,Bob,1,RejectOffer,
"I'm really interested in the product, but I was thinking more along the lines of $12000. Can you meet me at that price?",12000.0,Bob,2,,
,,Alice,2,RejectOffer,14000.0
"I understand you're interested in the product, Bob, but I'm afraid I need to make a profit. I'm willing to meet you halfway, but I need to get at least $14000 for it. Can you consider that?",14000.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate your willingness to meet me halfway, but $14000 is still a bit steep for me. I'm thinking more along the lines of $11500. Can you consider that?",11500.0,Bob,4,,
,,Alice,4,RejectOffer,13000.0
"I can see you're serious about the product, Bob, but I still need to make a decent profit. I'm willing to compromise further, but I need at least $13000 for it. Can you meet me at that price?",13000.0,Alice,5,,
,,Bob,5,RejectOffer,
"I appreciate your willingness to compromise, but $13000 is still a bit too high for me. I'm thinking more along the lines of $11000. Can you consider that?",11000.0,Bob,6,,
,,Alice,6,RejectOffer,12500.0
"I understand you're trying to get a good deal, Bob, but I'm not willing to go as low as $11000. I'm willing to meet you halfway between $11000 and $13000, so I'll offer it to you for $12200. Is that something you'd be interested in?",12200.0,Alice,7,,
,,Bob,7,RejectOffer,
"I appreciate your willingness to meet me halfway, but $12200 is still a bit too high for me. I'm thinking more along the lines of $10800. Can you consider that?",10800.0,Bob,8,,
,,Alice,8,RejectOffer,12000.0
"I'm starting to feel like we're getting close, Bob, but I still need to make a profit. I'm willing to meet you halfway between $10800 and $12000, so I'll offer it to you for $11400. Is that something you'd be interested in?",11400.0,Alice,9,,
,,Bob,9,RejectOffer,
"I'm really close to walking away from the deal, but I'm still interested in the product. I'm thinking more along the lines of $10000. Can you meet me at that price?",10000.0,Bob,10,,
,,Alice,10,RejectOffer,
