message,product_price,player,round,decision,new_price
"Hi Bob, I have a great product that I think you'll really like. Would you like to make an offer to buy it from me?",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"I'm interested in the product, but I was thinking more along the lines of $90.",90.0,Bob,2,,
,,Alice,2,RejectOffer,130.0
"I understand you're looking for a good deal, but I think my product is worth more than that. I'm willing to meet you in the middle, so I'll offer it to you for $110.",110.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate your willingness to meet in the middle, but I'm still a bit higher than that. How about $95?",95.0,Bob,4,,
,,Alice,4,RejectOffer,115.0
"I'm not willing to go as low as $95, but I'm willing to meet you a bit closer to that. I'll offer it to you for $105.",105.0,Alice,5,,
,,Bob,5,RejectOffer,
"I'm getting closer to a deal, but I still think I can do better. How about $98?",98.0,Bob,6,,
,,Alice,6,RejectOffer,110.0
"I'm not willing to go as low as $98, but I'm willing to make a small concession. I'll offer it to you for $108.",108.0,Alice,7,,
,,Bob,7,RejectOffer,
"I appreciate your willingness to make a concession, but I'm still a bit higher than that. How about $102?",102.0,Bob,8,,
,,Alice,8,RejectOffer,112.0
"I'm starting to get a bit concerned that we're getting close to the deadline, but I'm still willing to negotiate. I'll offer it to you for $115.",115.0,Alice,9,,
,,Bob,9,RejectOffer,
"I'm willing to make a serious offer, but I need to know if you're willing to meet me at $100. This is my final offer.",100.0,Bob,10,,
,,Alice,10,SellToJhon,
