message,product_price,player,round,decision,newOffer
"Hi Bob, I'm excited to offer you the product for $120. It's a great deal, and I think you'll really like it!",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice, but $120 is a bit steep for me. Would you consider $80?",80.0,Bob,2,,
,,Alice,2,RejectOffer,110.0
"I appreciate your offer, Bob, but I was thinking more along the lines of $110. It's a fair price for the product, and I'm confident you'll find it valuable.",110.0,Alice,3,,
,,Bob,3,RejectOffer,
"I understand, $110 is closer, but I'm still aiming for a lower price. How about we meet in the middle at $95?",95.0,Bob,4,,
,,Alice,4,RejectOffer,105.0
"I see you're a shrewd negotiator, Bob! I can do $105, but that's as low as I'm willing to go. It's still a great deal for you, and I'm confident you'll love the product.",105.0,Alice,5,,
,,Bob,5,BuyFromJhon,
