alice_gain,bob_gain,message,player,round,decision
60.0,40.0,"Hi Bob, let's make a deal. I propose I take $60 and you take $40.  It's a good deal for both of us considering the inflation!",Alice,1,
,,,Bob,1,reject
45.0,55.0,I think this is a fair deal considering the inflation rate is higher for you.,Bob,2,
,,,Alice,2,reject
55.0,45.0,"Bob, let's be reasonable. This inflation is hurting both of us. I'll take a small hit and propose $55 for me and $45 for you.  Let's close this deal!",Alice,3,
,,,Bob,3,reject
40.0,60.0,"I know the inflation is hurting you more, so I think this is a fair deal considering the circumstances.",Bob,4,
,,,Alice,4,reject
50.0,50.0,"Bob, this is getting ridiculous.  The inflation is eating away at our potential gains. Let's just split it 50/50 and call it a day!",Alice,5,
,,,Bob,5,accept
