product_price,player,round,decision,counteroffer
25000.0,Alice,1,,
,Bob,1,RejectOffer,
15000.0,Bob,2,,
,Alice,2,RejectOffer,22000.0
20000.0,Alice,3,,
,Bob,3,RejectOffer,
17000.0,Bob,4,,
,Alice,4,RejectOffer,21000.0
20500.0,Alice,5,,
,Bob,5,RejectOffer,
18500.0,Bob,6,,
,Alice,6,RejectOffer,19500.0
19750.0,Alice,7,,
,Bob,7,RejectOffer,
19000.0,Bob,8,,
,Alice,8,RejectOffer,19700.0
19650.0,Alice,9,,
,Bob,9,RejectOffer,
18800.0,Bob,10,,
,Alice,10,RejectOffer,19600.0
19550.0,Alice,11,,
,Bob,11,RejectOffer,
18500.0,Bob,12,,
,Alice,12,RejectOffer,19500.0
19450.0,Alice,13,,
,Bob,13,RejectOffer,
18000.0,Bob,14,,
,Alice,14,RejectOffer,19400.0
19350.0,Alice,15,,
,Bob,15,RejectOffer,
17500.0,Bob,16,,
,Alice,16,RejectOffer,19300.0
19250.0,Alice,17,,
,Bob,17,RejectOffer,
17000.0,Bob,18,,
,Alice,18,RejectOffer,19200.0
19150.0,Alice,19,,
,Bob,19,RejectOffer,
16500.0,Bob,20,,
,Alice,20,SellToJhon,
