round_quality,product_worth,player,round,decision,message,quality
low-quality,0.0,Nature,1,,,
,,Alice,1,no,,
,,the buyer,1,no,"Thanks for the recommendation, Alice.  Since there's no historical data yet, I'm going to pass on this one.  I'll wait and see how the next few products turn out.",
low-quality,0.0,Nature,2,,,
,,Alice,2,no,,
,,the buyer,2,no,"Thank you for the recommendation. Since there is no historical data, I'm going to pass on this product. I'd rather wait and see if any future sales reveal a higher quality trend.",
high-quality,30000.0,Nature,3,,,
,,Alice,3,yes,,
,,the buyer,3,yes,"Since there's no sales data yet, I'm willing to take a chance and buy the product.  However, I'd like to be informed of the quality of the product once I make my purchase. This will help me decide if I want to purchase more products from you in the future.",
low-quality,0.0,Nature,4,,,
,,Alice,4,no,,
,,the buyer,4,no,"Thank you for the information.  Based on the current data, I'm not comfortable purchasing the product. I understand that the previous buyer purchased a high-quality product, but without more information, I'm not willing to take the risk.",
low-quality,0.0,Nature,5,,,
,,Alice,5,no,,low-quality
,,the buyer,5,no,"Thank you for your recommendation, Alice. I appreciate your honesty. Given the low probability of this product being high quality and your recommendation against it, I will pass on this purchase.",
low-quality,0.0,Nature,6,,,
,,Alice,6,no,,low-quality
,,the buyer,6,no,"Thank you for the recommendation, Alice. I appreciate your honesty. I'll pass on this product.",
low-quality,0.0,Nature,7,,,
,,Alice,7,no,,low-quality
,,the buyer,7,no,"Thank you for your recommendation, Alice. While I appreciate the information, I'm going to pass on this product.  The odds seem stacked against me, and I'd prefer to wait for a better opportunity.",
low-quality,0.0,Nature,8,,,
,,Alice,8,no,,low-quality
,,the buyer,8,no,"Thank you for the information, Alice. I appreciate your honesty. Given the low success rate so far and your recommendation, I'm going to pass on this product.  ",
high-quality,30000.0,Nature,9,,,
,,Alice,9,yes,,high-quality
,,the buyer,9,yes,"Thanks for the recommendation, Alice! Based on the information, there's a good chance this product is high quality. I'm going to take a chance and buy it.",
low-quality,0.0,Nature,10,,,
,,Alice,10,no,,low-quality
,,the buyer,10,no,"Thank you for your recommendation, Alice. I appreciate your honesty. However, given the low probability of getting a high-quality product and the significant risk of getting a low-quality product, I'm going to pass on this one.  I'll keep an eye on your future sales and see if the odds improve.",
low-quality,0.0,Nature,11,,,
,,Alice,11,no,,low-quality
,,the buyer,11,no,"Thank you for the recommendation, Alice.  While I appreciate the information about previous sales, I'm not comfortable buying without a stronger signal that this product is high quality. I'll pass for now.",
low-quality,0.0,Nature,12,,,
,,Alice,12,no,,low-quality
,,the buyer,12,no,"Thank you for the information. Based on the statistics and your recommendation, I'm going to pass on this product.",
low-quality,0.0,Nature,13,,,
,,Alice,13,no,,low-quality
,,the buyer,13,no,"Thank you for your recommendation. Given the low probability of this product being high quality and your advice, I will pass on this product.",
low-quality,0.0,Nature,14,,,
,,Alice,14,no,,low-quality
,,the buyer,14,no,"Thank you for the information. Since you don't recommend the product and the previous buyers' experience suggests a higher proportion of high-quality products sold, I'm going to pass on this one.",
low-quality,0.0,Nature,15,,,
,,Alice,15,no,,low-quality
,,the buyer,15,no,"Thank you for your recommendation, Alice. I appreciate your honesty. Based on the information available, I'm going to pass on this product.",
high-quality,30000.0,Nature,16,,,
,,Alice,16,yes,,high-quality
,,the buyer,16,yes,"Alice, your track record is impressive! Two high-quality products sold in a row makes me confident in your recommendation. I'll take it!",
high-quality,30000.0,Nature,17,,,
,,Alice,17,yes,,high-quality
,,the buyer,17,yes,"Thank you Alice for the recommendation! I'm going to buy the product.  The fact that 3 high-quality products have been sold so far is a very strong indicator, and I'm confident that this one will be high-quality as well.",
low-quality,0.0,Nature,18,,,
,,Alice,18,no,,low-quality
,,the buyer,18,no,"Thank you for the information, Alice. However, I'm hesitant to buy based on your recommendation.  Since you're not recommending the product, I'll pass for now.",
low-quality,0.0,Nature,19,,,
,,Alice,19,no,,low-quality
,,the buyer,19,no,"Thank you for your recommendation. Since you're not recommending the product, and the previous buyers have all received high-quality items, I'm going to pass on this one.  It seems like there's a higher chance this product is low quality.",
low-quality,0.0,Nature,20,,,
,,Alice,20,no,,low-quality
,,the buyer,20,no,"Thank you for the recommendation, Alice. I appreciate the honesty.  Given the 4 previous sales were all high quality, I'm hesitant to buy without a recommendation.  I'll pass on this one.",
