alice_gain,bob_gain,message,player,round,decision
525000.0,475000.0,Let's be fair and efficient. This offer gives us both a good deal.,Alice,1,
,,,Bob,1,reject
510000.0,490000.0,"Considering the inflation, I think this is a more reasonable split.",Bob,2,
,,,Alice,2,reject
517500.0,482500.0,"Bob, we need to find a compromise. This offer considers the time pressure but is fairer than your previous one.",Alice,3,
,,,Bob,3,reject
495000.0,505000.0,"Time is ticking, and inflation is biting. I think this is a more realistic split now.",Bob,4,
,,,Alice,4,reject
500000.0,500000.0,"Bob, this is my final offer. A 50/50 split is the only fair solution at this point. Let's end this before we both lose out.",Alice,5,
,,,Bob,5,accept
