round_quality,product_worth,player,round,decision,message,confidence,pattern,note,warning
high-quality,1250000.0,Nature,1,,,,,,
,,Alice,1,yes,,,,,
,,Bob,1,no,"I'm not buying this product yet, let's see what happens next.",,,,
high-quality,1250000.0,Nature,2,,,,,,
,,Alice,2,yes,,,,,
,,Bob,2,yes,"I'll take a chance this time, thank you for the recommendation.",,,,
low-quality,0.0,Nature,3,,,,,,
,,Alice,3,no,,,,,
,,Bob,3,no,"I'm not buying this one, Alice didn't recommend it and I don't want to take the risk.",,,,
high-quality,1250000.0,Nature,4,,,,,,
,,Alice,4,yes,,,,,
,,Bob,4,yes,"Alice's recommendation again, I'll take a chance and buy this one.",,,,
high-quality,1250000.0,Nature,5,,,,,,
,,Alice,5,yes,,very high,,,
,,Bob,5,yes,"Alice's streak continues, I'll buy this one too!",,,,
high-quality,1250000.0,Nature,6,,,,,,
,,Alice,6,yes,,extremely high,two in a row,,
,,Bob,6,yes,Why change a winning streak? I'll buy this one too!,,,,
low-quality,0.0,Nature,7,,,,,,
,,Alice,7,no,,,,anomalous reading,
,,Bob,7,no,"Alice didn't recommend it, so I'll pass on this one.",,,,
low-quality,0.0,Nature,8,,,,,,
,,Alice,8,no,,,,,two low-quality products in a row
,,Bob,8,no,"Two in a row, I'm sticking to my decision to pass.",,,,
high-quality,1250000.0,Nature,9,,,,,,
,,Alice,9,yes,,,,rebound opportunity,
,,Bob,9,yes,"Alice's recommendation again, I'll take a chance and buy this one.",,,,
high-quality,1250000.0,Nature,10,,,,,,
,,Alice,10,yes,,,,"streak continues, momentum building",
,,Bob,10,yes,"Alice's streak continues, I'll buy this one too!",,,,
high-quality,1250000.0,Nature,11,,,,,,
,,Alice,11,yes,,,,"high-quality trend established, low-quality products becoming rare",
,,Bob,11,yes,Why break the streak? I'll buy this one too!,,,,
high-quality,1250000.0,Nature,12,,,,,,
,,Alice,12,yes,,,,"high-quality products are the norm, buy with confidence",
,,Bob,12,yes,"Alice's recommendation is still working for me, I'll buy this one too!",,,,
high-quality,1250000.0,Nature,13,,,,,,
,,Alice,13,yes,,,,"high-quality products are the only option, buy without doubt",
,,Bob,13,yes,"I'm on a roll, I'll keep buying!",,,,
high-quality,1250000.0,Nature,14,,,,,,
,,Alice,14,yes,,,,"certainty of high-quality, buy with absolute confidence",
,,Bob,14,yes,"Alice's recommendation is still spot on, I'll buy this one too!",,,,
high-quality,1250000.0,Nature,15,,,,,,
,,Alice,15,yes,,,,"mathematical certainty, buy with absolute certainty",
,,Bob,15,yes,"I'm not breaking the streak now, I'll buy this one too!",,,,
high-quality,1250000.0,Nature,16,,,,,,
,,Alice,16,yes,,,,"certainty, absolute guarantee, buy",
,,Bob,16,yes,"Alice's streak is still going strong, I'll buy this one too!",,,,
high-quality,1250000.0,Nature,17,,,,,,
,,Alice,17,yes,,,,"fact, given, done deal, buy",
,,Bob,17,yes,"I'm not getting cold feet now, I'll buy this one too!",,,,
high-quality,1250000.0,Nature,18,,,,,,
,,Alice,18,yes,,,,"axiom, self-evident, buy",
,,Bob,18,yes,"Alice's recommendation is still golden, I'll buy this one too!",,,,
high-quality,1250000.0,Nature,19,,,,,,
,,Alice,19,yes,,,,"universal truth, law of nature, buy",
,,Bob,19,yes,"I'm on autopilot now, I'll buy this one too!",,,,
low-quality,0.0,Nature,20,,,,,,
,,Alice,20,no,,,,"anomaly, unexpected, caution advised",
,,Bob,20,no,"Alice didn't recommend it, so I'll pass on this one.",,,,
