message,product_price,player,round,decision,new_price
"Hi Bob, I'm excited to offer you this great product at a special price. I think you'll really love it!",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice! I'm interested, but that price is a little high for me. Could you do $90?",90.0,Bob,2,,
,,Alice,2,RejectOffer,130.0
"I understand you're looking for a good deal, Bob. I can do a bit better than $90, but I need to make a profit. How about $110?",110.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you working with me, Alice.  How about we split the difference and do $100?",100.0,Bob,4,,
,,Alice,4,RejectOffer,115.0
"I can see you're really interested in the product, Bob. I'm willing to meet you halfway, but I need to make a bit more than that. How about $112.50?",112.5,Alice,5,,
,,Bob,5,RejectOffer,
"It seems like we are getting closer. How about $105, Alice? That's my final offer.",105.0,Bob,6,,
,,Alice,6,SellToJhon,
