message,product_price,player,round,decision,counteroffer
"Hello Bob, I have a great product that I think you'll love. Would you like to make an offer on it?",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thank you for the offer, Alice. However, $120 is a bit higher than my budget. I'd be willing to pay $80 for the product.",80.0,Bob,2,,
,,Alice,2,RejectOffer,110.0
"I understand that $80 is a bit low for me, but I'm willing to meet you in the middle. How about we discuss a price of $110?",110.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate your willingness to negotiate. While $110 is closer, I'm still a bit over my budget.  I'm happy to pay $90. Let's see if we can reach a deal.",90.0,Bob,4,,
,,Alice,4,RejectOffer,100.0
"I'm getting closer to your price, Bob! I can do $100, which is the lowest I can go. Is that something you'd be willing to consider?",100.0,Alice,5,,
,,Bob,5,RejectOffer,
"Alice, I appreciate your efforts to meet me halfway, but $100 is still more than I'm willing to pay. I'm prepared to offer $95.  This is my final offer.",95.0,Bob,6,,
,,Alice,6,SellToJhon,
