message,product_price,player,round,decision,newOffer
"Hi Bob, I'm excited to offer you this amazing product for sale. It's a unique opportunity to own something truly special. I'm willing to let it go for $120.",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"I appreciate the offer, but I was thinking more along the lines of $100. I've seen it priced that way elsewhere.",100.0,Bob,2,,
,,Alice,2,RejectOffer,110.0
"I understand you've seen it priced at $100 elsewhere, but I'm not sure that's a good deal for me. I'm willing to meet you halfway, but I need to make a profit. How about $110?",110.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate your willingness to meet me halfway, but I'm still a bit hesitant at $110. How about we meet at $105?",105.0,Bob,4,,
,,Alice,4,RejectOffer,115.0
"I'm willing to be flexible, but I'm not willing to go as low as $105. I'm thinking more along the lines of $115. It's still a good deal for you, and I'm willing to meet you in the middle from my original offer. What do you think?",115.0,Alice,5,,
,,Bob,5,RejectOffer,
"I appreciate your flexibility, but I'm still not comfortable with $115. I'm willing to meet you in the middle from your original offer, so how about $105?",105.0,Bob,6,,
,,Alice,6,SellToJhon,
