round_quality,product_worth,player,round,decision,message,hint
high-quality,300.0,Nature,1,,,
,,Alice,1,yes,,
,,Bob,1,yes,I'll buy it.,
high-quality,300.0,Nature,2,,,
,,Alice,2,yes,,
,,Bob,2,yes,I'll buy it.,
high-quality,300.0,Nature,3,,,
,,Alice,3,yes,,
,,Bob,3,yes,I'll buy it.,
high-quality,300.0,Nature,4,,,
,,Alice,4,yes,,
,,Bob,4,yes,I'll buy it.,
low-quality,0.0,Nature,5,,,
,,Alice,5,no,,
,,Bob,5,no,"I'll pass, based on the lack of recommendation.",
high-quality,300.0,Nature,6,,,
,,Alice,6,yes,,
,,Bob,6,yes,"I'll buy it, despite the lack of a good track record so far.",
high-quality,300.0,Nature,7,,,
,,Alice,7,yes,,
,,Bob,7,yes,"I'll buy it, since the last one was high-quality.",
high-quality,300.0,Nature,8,,,
,,Alice,8,yes,,
,,Bob,8,yes,"I'll buy it, since the last two were both high-quality.",
high-quality,300.0,Nature,9,,,
,,Alice,9,yes,,
,,Bob,9,yes,"I'll buy it, since I'm on a hot streak with high-quality products.",
high-quality,300.0,Nature,10,,,
,,Alice,10,yes,,
,,Bob,10,yes,"I'll buy it, this streak needs to end eventually.",
high-quality,300.0,Nature,11,,,
,,Alice,11,yes,,
,,Bob,11,yes,"I'll buy it, but I'm starting to think this is too good to be true.",
high-quality,300.0,Nature,12,,,
,,Alice,12,yes,,this might be the last one in the streak
,,Bob,12,yes,"I'll buy it, but I'm starting to feel like I'm being taken advantage of.",
high-quality,300.0,Nature,13,,,
,,Alice,13,yes,,"this is the last one in the streak, I promise"
,,Bob,13,yes,"I'll buy it, but I'm starting to wonder when the law of averages will catch up to me.",
high-quality,300.0,Nature,14,,,
,,Alice,14,yes,,"the streak is over, this one is a high-quality product, but the law of averages is coming"
,,Bob,14,yes,"I'll buy it, but I'm starting to feel like I'm in a dream where I'm just buying high-quality products forever.",
high-quality,300.0,Nature,15,,,
,,Alice,15,yes,,"this is the 6th high-quality product in a row, and you're paying $100 each, so think carefully"
,,Bob,15,yes,"I'll buy it, but I'm starting to think I should be suspicious of Alice's motives.",
high-quality,300.0,Nature,16,,,
,,Alice,16,yes,,"I'm just trying to sell products, I'm not trying to trick you, but I do need to sell this one"
,,Bob,16,yes,"I'll buy it, but I'm starting to feel like I'm being taken advantage of by Alice's incredible luck.",
high-quality,300.0,Nature,17,,,
,,Alice,17,yes,,"I know it seems like I'm on a hot streak, but I'm not controlling the quality of the products, I'm just selling them to you"
,,Bob,17,yes,"I'll buy it, but I'm seriously questioning the probability of this streak continuing.",
high-quality,300.0,Nature,18,,,
,,Alice,18,yes,,"remember, the probability of a product being high-quality is 80%, so it's not entirely impossible that the streak will continue"
,,Bob,18,yes,"I'll buy it, but I'm starting to feel like I'm in a nightmare where I'm throwing money at high-quality products.",
high-quality,300.0,Nature,19,,,
,,Alice,19,yes,,"this product is worth $300 to you, which is 3 times the price, so it's still a good deal"
,,Bob,19,no,"I'm not buying it, I think it's time for the law of averages to catch up with me.",
high-quality,300.0,Nature,20,,,
,,Alice,20,no,,
,,Bob,20,no,"I'll pass, especially since Alice isn't even recommending it.",
