message,product_price,player,round,decision,counteroffer
"Hello Bob, I have a unique product that I think you'll be interested in. I'm willing to sell it to you for $120.",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hello Alice, thanks for your offer. That's a bit too high for me. Would you consider $80?",80.0,Bob,2,,
,,Alice,2,RejectOffer,110.0
"Thanks for your offer, Bob. I can do better than that. I'm willing to meet you in the middle at $110.",110.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you coming down, Alice.  How about we split the difference again and settle at $95?",95.0,Bob,4,,
,,Alice,4,RejectOffer,105.0
"I can see you're serious about getting a good deal, Bob. I'm willing to meet you at $105, but I'm not going any lower than that.",105.0,Alice,5,,
,,Bob,5,BuyFromJhon,
