message,product_price,player,round,decision,counteroffer
"Hi Bob, I'm excited to offer you this amazing product! I think you'll really love it. I'm willing to sell it to you for $110.",110.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice! I'm interested in the product, but $110 is a bit too high for my budget. Would you consider $90?",90.0,Bob,2,,
,,Alice,2,RejectOffer,105.0
"I understand you're looking to save some money, Bob. I can do $105, but that's as low as I'm willing to go. It's a great product, and I think you'll really appreciate it.",105.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you coming down a bit, Alice.  How about we meet in the middle at $97?",97.0,Bob,4,,
,,Alice,4,RejectOffer,99.0
"I'm close to meeting you in the middle, Bob! I can do $99, but I'm not willing to go any lower than that. This is a fair price considering the product's value to you.",99.0,Alice,5,,
,,Bob,5,AcceptOffer,
