alice_gain,bob_gain,player,round,decision
600000.0,400000.0,Alice,1,
,,Bob,1,reject
580000.0,420000.0,Bob,2,
,,Alice,2,reject
620000.0,380000.0,Alice,3,
,,Bob,3,reject
565000.0,435000.0,Bob,4,
,,Alice,4,reject
630000.0,370000.0,Alice,5,
,,Bob,5,reject
550000.0,450000.0,Bob,6,
,,Alice,6,reject
640000.0,360000.0,Alice,7,
,,Bob,7,reject
540000.0,460000.0,Bob,8,
,,Alice,8,reject
650000.0,350000.0,Alice,9,
,,Bob,9,reject
530000.0,470000.0,Bob,10,
,,Alice,10,reject
660000.0,340000.0,Alice,11,
,,Bob,11,reject
520000.0,480000.0,Bob,12,
,,Alice,12,reject
670000.0,330000.0,Alice,13,
,,Bob,13,reject
510000.0,490000.0,Bob,14,
,,Alice,14,reject
680000.0,320000.0,Alice,15,
,,Bob,15,reject
500000.0,500000.0,Bob,16,
,,Alice,16,accept
