message,product_price,player,round,decision,newOffer
"Hello Bob, I have a great product that I think you'll love. I'm willing to let it go for $120.",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thank you for offering the product, Alice. I'm interested and would like to propose a price of $100.",100.0,Bob,2,,
,,Alice,2,RejectOffer,115.0
"I appreciate your interest in the product, Bob. However, I was thinking more along the lines of $115 as a starting point. I'm willing to meet you halfway, but I need to make a profit. How about we discuss $112.50?",112.5,Alice,3,,
,,Bob,3,RejectOffer,
"I understand your position, Alice. Considering my budget, I'd like to propose a price of $105.",105.0,Bob,4,,
,,Alice,4,RejectOffer,110.0
"I appreciate your persistence, Bob. I'm willing to meet you halfway between $105 and $112.50, which is $108.75. How about we call it a day at this price?",108.75,Alice,5,,
,,Bob,5,AcceptOffer,
