message,product_price,player,round,decision,new_price
I'm excited to offer you a great deal on this fantastic product!,180.0,Alice,1,,
,,Bob,1,RejectOffer,
"I appreciate your offer, but $180 is significantly above my budget.  I'm willing to pay $100 for the product. Let's see if we can work something out.",100.0,Bob,2,,
,,Alice,2,RejectOffer,160.0
"I'm willing to meet you halfway, but I need to make a profit. I can offer it to you for $140",140.0,Alice,3,,
,,Bob,3,RejectOffer,
"While I appreciate your willingness to compromise, $140 is still above my maximum. I'm happy to pay $120, which is a fair price for both of us.  Let's see if we can reach an agreement.",120.0,Bob,4,,
,,Alice,4,RejectOffer,145.0
"I'm getting closer to your budget, but I need to make a living. I can offer it to you for $130",130.0,Alice,5,,
,,Bob,5,RejectOffer,
"I understand you need to make a profit, and I'm happy to pay a fair price.  How about we settle on $125? This would be a good compromise for both of us, and I'm ready to make the purchase.",125.0,Bob,6,,
,,Alice,6,RejectOffer,135.0
"I'm willing to meet you at $125, but I need a bit more. I can offer it to you for $135, but that's as low as I can go",135.0,Alice,7,,
,,Bob,7,BuyFromJhon,
