message,product_price,player,round,decision,new_offer
"Hi Bob, I'm excited to offer you this amazing product. I think you'll really love it!",110.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice! I'm interested in the product, but $110 feels a bit high for me.  Would you consider a lower price?",90.0,Bob,2,,
,,Alice,2,RejectOffer,105.0
"I understand you're looking for a better deal, Bob. I can see that you're really interested in the product. I'm willing to meet you in the middle, but I need to make a profit, so I can offer it to you for $105. What do you think?",105.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you meeting me halfway, Alice.  How about we settle at $95? That feels like a fair deal for both of us.",95.0,Bob,4,,
,,Alice,4,RejectOffer,100.0
"I appreciate your persistence, Bob! I'm willing to make one more concession, but I need to make sure I get a fair price. I can offer it to you for $100, which is the minimum I'm willing to accept. What do you think?",100.0,Alice,5,,
,,Bob,5,AcceptOffer,
