message,product_price,player,round,decision,new_price
"Hello Bob, I'm excited to offer you this great product! I think you'll really love it.",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hello Alice, thanks for offering!  While I like the product, $120 is a bit too high for me. Would you consider a lower price?",60.0,Bob,2,,
,,Alice,2,RejectOffer,110.0
"I understand you're looking for a better price, Bob. I'm willing to meet you halfway, but I still need to make a profit. How about we meet at $90?",90.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you coming down, Alice.  How about we split the difference and settle at $75?",75.0,Bob,4,,
,,Alice,4,RejectOffer,85.0
"I'm getting close to my minimum price, Bob. I'm willing to compromise a bit more. How about we meet at $82.50?",82.5,Alice,5,,
,,Bob,5,BuyFromJhon,
