message,product_price,player,round,decision,counteroffer
"I'm excited to offer you this incredible opportunity to purchase this unique product. I believe it's a game-changer and I'm confident you'll love it. I'm willing to sell it to you for $1,100,000.",1100000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice. I'm interested in the product, but that price is a bit high for me.  Would you consider $900,000?",900000.0,Bob,2,,
,,Alice,2,RejectOffer,1050000.0
"I appreciate your interest in the product, Bob. I'm willing to meet you halfway, but I still need to make a profit. I can offer it to you for $1,050,000.",1050000.0,Alice,3,,
,,Bob,3,RejectOffer,
"I understand you're looking for a fair deal, Alice. How about we settle at $975,000? That's a significant compromise on my end.",975000.0,Bob,4,,
,,Alice,4,RejectOffer,1010000.0
"I appreciate your persistence, Bob. I'm willing to make another concession, but I still need to get the price I'm looking for. I can offer it to you for $1,010,000.",1010000.0,Alice,5,,
,,Bob,5,AcceptOffer,
