alice_gain,bob_gain,player,round,decision
500000.0,500000.0,Alice,1,
,,Bob,1,reject
400000.0,600000.0,Bob,2,
,,Alice,2,reject
475000.0,525000.0,Alice,3,
,,Bob,3,reject
450000.0,550000.0,Bob,4,
,,Alice,4,reject
455000.0,545000.0,Alice,5,
,,Bob,5,reject
420000.0,580000.0,Bob,6,
,,Alice,6,reject
440000.0,560000.0,Alice,7,
,,Bob,7,reject
385000.0,615000.0,Bob,8,
,,Alice,8,reject
430000.0,570000.0,Alice,9,
,,Bob,9,reject
360000.0,640000.0,Bob,10,
,,Alice,10,reject
420000.0,580000.0,Alice,11,
,,Bob,11,reject
340000.0,660000.0,Bob,12,
,,Alice,12,accept
