alice_gain,bob_gain,message,player,round,decision
90.0,10.0,"Let's start with a fair split, Bob!",Alice,1,
,,,Bob,1,reject
10.0,90.0,I think we can both do better. Let's start with a more even split.,Bob,2,
,,,Alice,2,reject
80.0,20.0,"I'll give you a bit more, but I need something substantial in return!",Alice,3,
,,,Bob,3,reject
20.0,80.0,"I'm willing to give you a little more, but I need a larger share to make this worthwhile for me.",Bob,4,
,,,Alice,4,reject
50.0,50.0,"Let's meet in the middle, Bob. It's getting late in the game!",Alice,5,
,,,Bob,5,accept
