message,product_price,player,round,decision,counteroffer
"Hello Bob, I'm excited to offer you this amazing product! I think you'll really love it. I'm willing to sell it to you for $9,000.",9000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hello Alice, thanks for the offer.  I'm interested in the product, but $9,000 is a bit too high for me. Would you consider $7,000?",7000.0,Bob,2,,
,,Alice,2,RejectOffer,8200.0
"Hi Bob, I understand that $9,000 is a bit steep for you, and $7,000 is a bit too low for me. I'm willing to meet you in the middle at $8,200. Would you be willing to go for that?",8200.0,Alice,3,,
,,Bob,3,RejectOffer,
"Hi Alice, I appreciate you coming down a bit.  How about $7,800?  That's a fair compromise.",7800.0,Bob,4,,
,,Alice,4,RejectOffer,8100.0
"Hi Bob, I'm glad we're getting closer to a deal! I can do $7,800, but I was thinking maybe we could meet in the middle of our last two numbers, which would be $7,900. Would you be okay with that?",7900.0,Alice,5,,
,,Bob,5,BuyFromJhon,
