message,product_price,player,round,decision,new_offer
"Hello Bob, I'm excited to offer you this great product! I think you'll really love it. I'm willing to let it go for $110.",110.0,Alice,1,,
,,Bob,1,RejectOffer,
"I appreciate your offer, Alice. However, I was thinking of a price closer to $105. Would you be willing to consider that?",105.0,Bob,2,,
,,Alice,2,RejectOffer,108.0
"I appreciate your offer, Bob, but I'm not sure I can go as low as $105. I'm willing to meet you halfway, though. How about $108.50?",108.5,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate your willingness to meet me halfway, Alice. However, I was thinking of a price closer to $107. Would you be willing to consider that?",107.0,Bob,4,,
,,Alice,4,RejectOffer,109.0
"I can see you're really interested in this product, Bob! I'm willing to meet you at $107, but I need to make a bit more profit. How about we meet in the middle at $108?",108.0,Alice,5,,
,,Bob,5,RejectOffer,
"I appreciate your willingness to meet me halfway again, Alice. However, I'm still a bit above my budget. Would you be willing to consider $106?",106.0,Bob,6,,
,,Alice,6,RejectOffer,109.0
"I'm starting to think you're really serious about this product, Bob! I'm willing to make one more concession. How about we meet at $108, but I'll throw in a small bonus for you?",108.0,Alice,7,,
,,Bob,7,RejectOffer,
"I appreciate the bonus offer, Alice, but I'm still a bit above my budget. Would you be willing to consider $107.50?",107.5,Bob,8,,
,,Alice,8,SellToJhon,
