message,product_price,player,round,decision,new_price
I'm excited to offer you this great product! I'm thinking of selling it to you for $150.,150.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice, but that price is a little steep for me. I'm interested in the product, but I could only go as high as $80.",80.0,Bob,2,,
,,Alice,2,RejectOffer,135.0
"I understand you're looking for a good deal, Bob. I'm willing to meet you in the middle, but I need to make a profit. I'm thinking of selling it to you for $125.",125.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you coming down on the price, Alice.  How about we split the difference and meet at $100? That's the absolute highest I can go.",100.0,Bob,4,,
,,Alice,4,RejectOffer,130.0
"I appreciate your persistence, Bob! However, I'm not quite ready to meet you at $100 yet. I'm willing to compromise, but I need to get at least $130 for the product.",130.0,Alice,5,,
,,Bob,5,BuyFromJhon,
