alice_gain,bob_gain,player,round,decision
8000.0,2000.0,Alice,1,
,,Bob,1,reject
6800.0,3200.0,Bob,2,
,,Alice,2,reject
6000.0,4000.0,Alice,3,
,,Bob,3,reject
6160.0,3840.0,Bob,4,
,,Alice,4,reject
5200.0,4800.0,Alice,5,
,,Bob,5,reject
5852.8,4147.2,Bob,6,
,,Alice,6,reject
4800.0,5200.0,Alice,7,
,,Bob,7,reject
5539.68,4460.32,Bob,8,
,,Alice,8,reject
4000.0,6000.0,Alice,9,
,,Bob,9,reject
5327.39,4672.61,Bob,10,
,,Alice,10,reject
3600.0,6400.0,Alice,11,
,,Bob,11,reject
5200.0,4800.0,Bob,12,
,,Alice,12,accept
