message,product_price,player,round,decision,new_offer
I have a great product that I think you'll really like. Would you be interested in making an offer?,140.0,Alice,1,,
,,Bob,1,RejectOffer,
"I'm interested in the product, but I was thinking more along the lines of $130.",130.0,Bob,2,,
,,Alice,2,RejectOffer,145.0
"I appreciate your interest in the product, but I was thinking more along the lines of $145. It's a great deal, and I'm confident you'll love it!",145.0,Alice,3,,
,,Bob,3,RejectOffer,
"I'm still interested in the product, but I was thinking more along the lines of $125.",125.0,Bob,4,,
,,Alice,4,RejectOffer,135.0
"I'm willing to meet you halfway, but I still need to make a profit. How about $135?",135.0,Alice,5,,
,,Bob,5,RejectOffer,
"I appreciate your willingness to meet me halfway, but I'm still a bit short on budget. How about $130?",130.0,Bob,6,,
,,Alice,6,RejectOffer,132.0
"I'm getting close to my minimum, but I still want to make a fair deal. How about $132?",132.0,Alice,7,,
,,Bob,7,RejectOffer,
"I appreciate your flexibility, but I'm still trying to stay within my budget. How about $128?",128.0,Bob,8,,
,,Alice,8,SellToJhon,
