alice_gain,bob_gain,message,player,round,decision
60.0,40.0,"Let's start with a fair split, I'll give you 40 and take 60. It's a good starting point, don't you think?",Alice,1,
,,,Bob,1,reject
50.0,50.0,"I'll match your initial offer, but I think I can do better than a 50/50 split. Let's see what you think!",Bob,2,
,,,Alice,2,reject
55.0,45.0,"I'm willing to give you a bit more, but I still think 55 is a fair share. Let's see if you can do better than 45.",Alice,3,
,,,Bob,3,reject
40.0,60.0,"I'm trying to get closer to 50, but I still think 60 is a good starting point. Can you meet me in the middle?",Bob,4,
,,,Alice,4,reject
52.0,48.0,"I'm willing to give you a bit more, but I still think 52 is a fair share. Let's see if you can meet me halfway.",Alice,5,
,,,Bob,5,accept
