alice_gain,bob_gain,message,player,round,decision
50.0,50.0,Let's start fair. I propose a 50/50 split.,Alice,1,
,,,Bob,1,reject
40.0,60.0,"I think I deserve a bit more, 60/40 is still quite fair.",Bob,2,
,,,Alice,2,reject
55.0,45.0,"I'm willing to compromise, but I think a 55/45 split is more equitable, considering inflation is now affecting your share.",Alice,3,
,,,Bob,3,reject
42.0,58.0,"Considering inflation, I'll meet you halfway between my last offer and your last offer.",Bob,4,
,,,Alice,4,reject
48.0,52.0,"I'm willing to concede a bit more, but 48/52 is my final offer.  Any further concessions would be unfair to me.",Alice,5,
,,,Bob,5,accept
