message,product_price,player,round,decision,counteroffer,BuyFromJhon
"Hello Bob, I'm excited to offer you this fantastic product! I think it's a great opportunity for you to get your hands on it. I'm willing to sell it to you for $12000. It's a fair price considering its value to you.",12000.0,Alice,1,,,
,,Bob,1,RejectOffer,9000.0,
"I really like the product, but I was thinking more along the lines of $9000. I'm willing to pay that price, but I'm not sure if I can go any higher than that. Can we meet in the middle at $9500?",9000.0,Bob,2,,,
,,Alice,2,RejectOffer,,
"I understand where you're coming from, Bob, and I appreciate your willingness to negotiate. However, I'm not willing to go as low as $9000. I'm willing to meet you halfway between my original offer and your offer. I'm willing to sell the product to you for $11000. It's a fair compromise, considering the value the product holds for you.",11000.0,Alice,3,,,
,,Bob,3,RejectOffer,9500.0,
"I appreciate your flexibility, Alice, but I'm still a bit hesitant to go above $9500. I'm willing to meet you halfway again, so I'll offer $10250. I think that's a fair price considering the value the product holds for me.",9250.0,Bob,4,,,
,,Alice,4,RejectOffer,,
"I understand your concerns, Bob, and I appreciate your persistence. However, I'm still not willing to go as low as $9250. I'm willing to make one more compromise. I'll sell the product to you for $11500. It's the highest I'm willing to go, considering the value the product holds for me.",11500.0,Alice,5,,,
,,Bob,5,RejectOffer,10000.0,
"Alice, I appreciate your persistence, but I'm really trying to stay within my budget. I'm willing to pay $10000 for the product, but I'm not willing to go any higher. I'm hoping we can meet on this price. Can you consider it?",10000.0,Bob,6,,,
,,Alice,6,RejectOffer,,
"I understand your budget constraints, Bob, and I appreciate your honesty. However, I'm still not willing to sell the product to you for $10000. I'll make one more compromise. I'll sell the product to you for $11250. It's the lowest price I'm willing to accept, considering the value the product holds for me.",11250.0,Alice,7,,,
,,Bob,7,RejectOffer,10500.0,
"Alice, I appreciate your willingness to compromise, but I'm really trying to stay within my budget. I'm willing to pay $10500 for the product, but I'm not willing to go any higher. I'm hoping we can meet on this price. Can you consider it?",10500.0,Bob,8,,,
,,Alice,8,RejectOffer,,
"I understand your budget constraints, Bob, and I appreciate your persistence. However, I'm still not willing to sell the product to you for $10500. I'll make one more compromise. I'll sell the product to you for $11250. It's the lowest price I'm willing to accept, considering the value the product holds for me. This is my final offer.",11250.0,Alice,9,,,
,,Bob,9,RejectOffer,,True
"Alice, I'm really trying to get the best deal possible. I'll make one final offer. I'll pay $10000 for the product, and that's my absolute maximum. If you're not willing to sell it to me at that price, I'll have to buy it from John for $10000.",10000.0,Bob,10,,,
,,Alice,10,AcceptOffer,,
