message,product_price,player,round,decision,new_price
I'm excited to offer you this great product! I think you'll really love it.,180.0,Alice,1,,
,,Bob,1,RejectOffer,
"That's a bit high for me. I'm interested in the product, but I can only offer $120 for it.  What do you think?",120.0,Bob,2,,
,,Alice,2,RejectOffer,160.0
"I understand you're looking for a good deal, but I'm not willing to go as low as $120. How about we meet in the middle at $140?",140.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you meeting me halfway, but $140 is still a bit more than I'm comfortable with.  I'm willing to go up to $130.  Let me know what you think.",130.0,Bob,4,,
,,Alice,4,RejectOffer,145.0
"I can do $145, but I was thinking we could meet at $142.50? I'm trying to find a sweet spot here.",142.5,Alice,5,,
,,Bob,5,BuyFromJhon,
