message,product_price,player,round,decision,new_price
"Hello Bob, I have a unique product that I think you might be interested in. Would you like to make an offer to buy it from me?",150.0,Alice,1,,
,,Bob,1,RejectOffer,
"I'm interested in the product, but I was thinking more along the lines of $100. Would you be willing to consider that?",100.0,Bob,2,,
,,Alice,2,RejectOffer,125.0
"I appreciate your interest in the product, Bob. However, I was thinking more along the lines of $125. Would you be willing to meet me in the middle?",125.0,Alice,3,,
,,Bob,3,RejectOffer,
"I'm still a bit hesitant, but I'm willing to meet you halfway. Would you consider $115?",115.0,Bob,4,,
,,Alice,4,RejectOffer,120.0
"I appreciate your willingness to meet me halfway, Bob. I can do $120, but I'm not sure I can go any lower than that. Would you be willing to meet me at $120?",120.0,Alice,5,,
,,Bob,5,AcceptOffer,
