alice_gain,bob_gain,player,round,decision
990000.0,10000.0,Alice,1,
,,Bob,1,reject
10000.0,990000.0,Bob,2,
,,Alice,2,reject
940500.0,59500.0,Alice,3,
,,Bob,3,reject
59500.0,940500.0,Bob,4,
,,Alice,4,reject
883875.0,116125.0,Alice,5,
,,Bob,5,reject
116125.0,883875.0,Bob,6,
,,Alice,6,reject
820750.0,179250.0,Alice,7,
,,Bob,7,reject
179250.0,820750.0,Bob,8,
,,Alice,8,reject
762812.0,237188.0,Alice,9,
,,Bob,9,reject
237188.0,762812.0,Bob,10,
,,Alice,10,reject
709690.0,290310.0,Alice,11,
,,Bob,11,reject
290310.0,709690.0,Bob,12,
,,Alice,12,accept
