message,product_price,player,round,decision,new_offer
"Hello Bob, I'm excited to offer you this amazing product. I think you'll really love it. I'm willing to sell it to you for $17,000. What do you think?",17000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hello Alice, thanks for the offer, but $17,000 is a bit too high for me. I'm interested in the product, but I could only consider a price closer to $8,000.",8000.0,Bob,2,,
,,Alice,2,RejectOffer,12000.0
"Hi Bob, I understand you're looking for a better price, but $8,000 is a bit too low for me. I'm willing to meet you halfway and offer the product for $10,500. What do you think?",10500.0,Alice,3,,
,,Bob,3,RejectOffer,
"Hi Alice, I appreciate you meeting me halfway.  While $10,500 is closer to what I had in mind, I'm aiming for a price closer to $9,000. Would you be willing to consider that?",9000.0,Bob,4,,
,,Alice,4,RejectOffer,11000.0
"Hi Bob, I see you're getting closer to my minimum price. I'm willing to meet you halfway again, but I need to make a profit. I'm offering the product for $10,250. What do you think?",10250.0,Alice,5,,
,,Bob,5,BuyFromJhon,
