message,product_price,player,round,decision,counteroffer
"Hello Bob, I have a great product that I think you'll love. I'm willing to sell it to you for $120.",120.0,Alice,1,,
,,Bob,1,RejectOffer,90.0
"I'm really interested in the product, but I was thinking more along the lines of $90. Is that something you'd be willing to consider?",90.0,Bob,2,,
,,Alice,2,RejectOffer,
"I understand you're looking for a good deal, Bob. However, I need to make a profit on this sale. I can do $110, and that's as low as I can go.",110.0,Alice,3,,
,,Bob,3,RejectOffer,95.0
"I appreciate your flexibility, but I was thinking more along the lines of $95. I really need to keep my costs low on this one. Can you meet me at $95?",95.0,Bob,4,,
,,Alice,4,RejectOffer,
"I'm not willing to go as low as $95, Bob. I can meet you halfway between $110 and $95, which would be $102.50. Is that something you'd be willing to consider?",102.5,Alice,5,,
,,Bob,5,RejectOffer,98.0
"I appreciate the effort to meet me in the middle, but I'm still a bit above my budget. Would you be willing to consider $98? I think we're getting close to a deal.",98.0,Bob,6,,
,,Alice,6,RejectOffer,
"I'm getting close to my minimum price, Bob. I can do $105, but that's as low as I can go. If you're not willing to meet me at that price, I'll have to consider other options.",105.0,Alice,7,,
,,Bob,7,RejectOffer,99.0
"I understand you're getting close to your minimum price, but I'm still trying to keep my costs low. Would you be willing to meet me at $99? I think we're getting close to a deal.",99.0,Bob,8,,
,,Alice,8,RejectOffer,
"I've already said I'd go as low as $105, and you're asking me to go lower than that. I'm not willing to do that, Bob. If you're not willing to meet me at $105, I'm going to have to consider other options.",105.0,Alice,9,,
,,Bob,9,BuyFromJhon,
