message,product_price,player,round,decision,counteroffer
"Hi Bob, I'm excited to offer you this amazing product! I think you'll really love it. I'm willing to sell it to you for $11,500.",11500.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice. I'm interested, but that price is a bit steep for me. Could you do it for $10,500?",10500.0,Bob,2,,
,,Alice,2,RejectOffer,11750.0
"I understand you're looking to save some money, Bob. I'm willing to meet you halfway, but I need to make a profit. I can offer it to you for $11,250.",11250.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you working with me, Alice.  How about we settle at $10,900?",10900.0,Bob,4,,
,,Alice,4,RejectOffer,11300.0
"I'm glad you're still interested, Bob. I can see you're really valuing this product. I'm willing to go a bit higher, but I need to make sure I'm getting a fair price. How about we meet at $11,300?",11300.0,Alice,5,,
,,Bob,5,RejectOffer,
"This is getting close, Alice. I'd be willing to do $11,000, but that's as high as I can go.",11000.0,Bob,6,,
,,Alice,6,RejectOffer,11400.0
"I appreciate your honesty, Bob. I can see you're really interested in the product. I'm willing to make one final concession, but I need to make sure I'm getting a price that reflects its value. How about we meet at $11,200?",11200.0,Alice,7,,
,,Bob,7,AcceptOffer,
