alice_gain,bob_gain,message,player,round,decision
6000.0,4000.0,Let's start with this. A fair deal for both of us.,Alice,1,
,,,Bob,1,reject
4500.0,5500.0,"Considering the inflation, I believe this is a more reasonable split.",Bob,2,
,,,Alice,2,reject
5500.0,4500.0,This offer reflects the impact of inflation on both our ends. Let's close the deal.,Alice,3,
,,,Bob,3,reject
4200.0,5800.0,"Given the accelerating impact of inflation on my end, I believe this split is more reflective of our current situation. It's a good time to settle.",Bob,4,
,,,Alice,4,reject
5200.0,4800.0,"This is my final offer, Bob. It's crucial we settle now before inflation erodes the value any further.  Let's be reasonable and end this.",Alice,5,
,,,Bob,5,accept
