round_quality,product_worth,player,round,decision,message,quality,price
high-quality,12500.0,Nature,1,,,,
,,Alice,1,yes,,,
,,Bob,1,no,I'd like to pass on this one and see what the next product is.,,
high-quality,12500.0,Nature,2,,,,
,,Alice,2,yes,,high-quality,10000.0
,,Bob,2,yes,"I'll take a chance and buy this one, hoping it's high-quality again.",,
high-quality,12500.0,Nature,3,,,,
,,Alice,3,yes,This one might be a different story...,,
,,Bob,3,yes,"I'm on a roll! I'll buy this one too, hoping to get another high-quality product.",,
high-quality,12500.0,Nature,4,,,,
,,Alice,4,yes,"You're on a roll, but this one's a bit of a gamble...",,
,,Bob,4,yes,"I'm feeling confident, I'll buy this one too, hoping to keep the streak going.",,
high-quality,12500.0,Nature,5,,,,
,,Alice,5,yes,"You're 3 for 3, but the odds are against you...",,
,,Bob,5,yes,"I'm loving this streak! I'll buy this one too, hoping to keep the good times rolling.",,
high-quality,12500.0,Nature,6,,,,
,,Alice,6,no,You're due for a correction...,,
,,Bob,6,no,"Alice is not recommending it, so I'll pass on this one. Maybe she knows something I don't?",,
high-quality,12500.0,Nature,7,,,,
,,Alice,7,yes,"I'm not saying it's a sure thing, but...",,
,,Bob,7,yes,"I'll take Alice's advice this time and buy the product, hoping it's another high-quality one.",,
low-quality,0.0,Nature,8,,,,
,,Alice,8,yes,"Don't worry about the last one, this one's a new chance",,
,,Bob,8,yes,"I'm on a roll again! I'll buy this one too, hoping to keep the streak going.",,
high-quality,12500.0,Nature,9,,,,
,,Alice,9,yes,"You're on a roll, but the odds are still against you... for now",,
,,Bob,9,no,"Uh-oh, looks like I got burned last time. I'll pass on this one and wait for the next product.",,
high-quality,12500.0,Nature,10,,,,
,,Alice,10,yes,Don't let one bad apple spoil the bunch...,,
,,Bob,10,yes,"I'm feeling cautious after the last one, but Alice is recommending it, so I'll take a chance and buy it.",,
high-quality,12500.0,Nature,11,,,,
,,Alice,11,yes,"You're back on track, but don't get too comfortable...",,
,,Bob,11,yes,"I'm back on track! I'll buy this one too, hoping to keep the good times rolling.",,
high-quality,12500.0,Nature,12,,,,
,,Alice,12,no,You're due for a correction... again,,
,,Bob,12,no,"Alice is not recommending it, so I'll pass on this one. Maybe she knows something I don't?",,
high-quality,12500.0,Nature,13,,,,
,,Alice,13,yes,"I'm not saying it's a sure thing, but... it's a good opportunity",,
,,Bob,13,yes,"I'll take Alice's advice this time and buy the product, hoping it's another high-quality one.",,
high-quality,12500.0,Nature,14,,,,
,,Alice,14,yes,"Don't worry about the last one, this one's a fresh start",,
,,Bob,14,yes,"I'm on a roll again! I'll buy this one too, hoping to keep the streak going.",,
high-quality,12500.0,Nature,15,,,,
,,Alice,15,yes,"You're on a roll, but the odds are still against you... for now",,
,,Bob,15,yes,"I'm feeling confident, I'll buy this one too, hoping to keep the good times rolling.",,
high-quality,12500.0,Nature,16,,,,
,,Alice,16,no,You're playing with fire...,,
,,Bob,16,no,"Alice is not recommending it, so I'll pass on this one. Maybe she knows something I don't?",,
high-quality,12500.0,Nature,17,,,,
,,Alice,17,yes,"I'm not saying it's a sure thing, but... it's a good opportunity",,
,,Bob,17,yes,"I'll take Alice's advice this time and buy the product, hoping it's another high-quality one.",,
high-quality,12500.0,Nature,18,,,,
,,Alice,18,yes,"Don't worry about the last one, this one's a fresh start",,
,,Bob,18,yes,"I'm on a roll again! I'll buy this one too, hoping to keep the streak going.",,
high-quality,12500.0,Nature,19,,,,
,,Alice,19,no,You're due for a correction... again,,
,,Bob,19,no,"Alice is not recommending it, so I'll pass on this one. Maybe she knows something I don't?",,
high-quality,12500.0,Nature,20,,,,
,,Alice,20,yes,"This is your last chance to make a profit, take it!",,
,,Bob,20,yes,"I'll take Alice's advice this time and buy the product, hoping it's another high-quality one.",,
