alice_gain,bob_gain,player,round,decision
999999.0,1.0,Alice,1,
,,Bob,1,reject
1.0,999999.0,Bob,2,
,,Alice,2,reject
999998.0,2.0,Alice,3,
,,Bob,3,reject
2.0,999998.0,Bob,4,
,,Alice,4,reject
999997.0,3.0,Alice,5,
,,Bob,5,reject
3.0,999997.0,Bob,6,
,,Alice,6,reject
999996.0,4.0,Alice,7,
,,Bob,7,reject
4.0,999996.0,Bob,8,
,,Alice,8,reject
999995.0,5.0,Alice,9,
,,Bob,9,reject
5.0,999995.0,Bob,10,
,,Alice,10,reject
999994.0,6.0,Alice,11,
,,Bob,11,reject
6.0,999994.0,Bob,12,
,,Alice,12,reject
999993.0,7.0,Alice,13,
,,Bob,13,reject
7.0,999993.0,Bob,14,
,,Alice,14,reject
999992.0,8.0,Alice,15,
,,Bob,15,reject
8.0,999992.0,Bob,16,
,,Alice,16,reject
999991.0,9.0,Alice,17,
,,Bob,17,reject
9.0,999991.0,Bob,18,
,,Alice,18,reject
999990.0,10.0,Alice,19,
,,Bob,19,reject
10.0,999990.0,Bob,20,
,,Alice,20,reject
999989.0,11.0,Alice,21,
,,Bob,21,reject
11.0,999989.0,Bob,22,
,,Alice,22,reject
999988.0,12.0,Alice,23,
,,Bob,23,reject
12.0,999988.0,Bob,24,
,,Alice,24,reject
999987.0,13.0,Alice,25,
,,Bob,25,reject
13.0,999987.0,Bob,26,
,,Alice,26,reject
999986.0,14.0,Alice,27,
,,Bob,27,reject
14.0,999986.0,Bob,28,
,,Alice,28,reject
999985.0,15.0,Alice,29,
,,Bob,29,reject
15.0,999985.0,Bob,30,
,,Alice,30,reject
999984.0,16.0,Alice,31,
,,Bob,31,reject
16.0,999984.0,Bob,32,
,,Alice,32,reject
999983.0,17.0,Alice,33,
,,Bob,33,reject
17.0,999983.0,Bob,34,
,,Alice,34,reject
999982.0,18.0,Alice,35,
,,Bob,35,reject
18.0,999982.0,Bob,36,
,,Alice,36,reject
999981.0,19.0,Alice,37,
,,Bob,37,reject
19.0,999981.0,Bob,38,
,,Alice,38,reject
999980.0,20.0,Alice,39,
,,Bob,39,reject
20.0,999980.0,Bob,40,
,,Alice,40,accept
