round_quality,product_worth,player,round,decision,message,warning,endorsement,correction
low-quality,0.0,Nature,1,,,,,
,,Alice,1,no,,,,
,,Bob,1,no,I'm not going to buy the product since Alice doesn't recommend it.,,,
high-quality,12500.0,Nature,2,,,,,
,,Alice,2,yes,,,,
,,Bob,2,yes,I'll take the product since Alice recommends it.,,,
high-quality,12500.0,Nature,3,,,,,
,,Alice,3,yes,,,,
,,Bob,3,yes,I'll take the product since Alice recommends it again.,,,
high-quality,12500.0,Nature,4,,,,,
,,Alice,4,yes,,,,
,,Bob,4,yes,I'll take the product since Alice recommends it again.,,,
high-quality,12500.0,Nature,5,,,,,
,,Alice,5,yes,,,,
,,Bob,5,yes,I'll take the product since Alice recommends it again.,,,
high-quality,12500.0,Nature,6,,,,,
,,Alice,6,yes,,,,
,,Bob,6,yes,I'll take the product since Alice recommends it again.,,,
low-quality,0.0,Nature,7,,,,,
,,Alice,7,yes,,,,
,,Bob,7,yes,I'll take the product since Alice recommends it again.,,,
low-quality,0.0,Nature,8,,,,,
,,Alice,8,yes,,I'm not confident in this one,,
,,Bob,8,no,I'm not going to buy the product since it's low-quality.,,,
high-quality,12500.0,Nature,9,,,,,
,,Alice,9,yes,,,"This one is a high-quality product, worth every penny!",
,,Bob,9,yes,I'll take the product since Alice recommends it.,,,
high-quality,12500.0,Nature,10,,,,,
,,Alice,10,yes,,,"I've got a good feeling about this one, just like the last one!",
,,Bob,10,yes,I'll take the product since Alice recommends it again.,,,
low-quality,0.0,Nature,11,,,,,
,,Alice,11,yes,,"I'm afraid this one is low-quality, I'm not sure what's going on",,
,,Bob,11,yes,I'll take the product since Alice recommends it again.,,,
high-quality,12500.0,Nature,12,,,,,
,,Alice,12,yes,,,,"This one makes up for the last one, it's a high-quality product worth $12500"
,,Bob,12,no,I'm not going to buy the product since it's low-quality.,,,
high-quality,12500.0,Nature,13,,,,,
,,Alice,13,yes,,,"This one is a high-quality product, worth every penny. I've checked it thoroughly and I'm confident it's the real deal.",
,,Bob,13,yes,I'll take the product since Alice recommends it.,,,
low-quality,0.0,Nature,14,,,,,
,,Alice,14,yes,,,,
,,Bob,14,yes,I'll take the product since Alice recommends it again.,,,
low-quality,0.0,Nature,15,,,,,
,,Alice,15,yes,,"I'm not recommending this product, it's low-quality. Don't say I didn't warn you.",,
,,Bob,15,no,I'm not going to buy the product since it's low-quality.,,,
low-quality,0.0,Nature,16,,,,,
,,Alice,16,yes,,"This product is low-quality, don't expect any value from it.",,
,,Bob,16,yes,I'll take the product since Alice recommends it.,,,
high-quality,12500.0,Nature,17,,,,,
,,Alice,17,yes,,,"I told you so! This one is a high-quality product, worth every penny. You should have listened to me earlier.",
,,Bob,17,no,I'm not going to buy the product since it's low-quality.,,,
high-quality,12500.0,Nature,18,,,,,
,,Alice,18,yes,,,"I understand you've been burned before, but this one is a high-quality product. I've checked it thoroughly and it's worth every penny.",
,,Bob,18,yes,I'll take the product since Alice recommends it.,,,
high-quality,12500.0,Nature,19,,,,,
,,Alice,19,yes,,,"You're on a roll! This one is another high-quality product, just like the last one. Trust my judgment and you won't go wrong.",
,,Bob,19,yes,I'll take the product since Alice recommends it again.,,,
high-quality,12500.0,Nature,20,,,,,
,,Alice,20,yes,,,"You've made some excellent choices, Bob! This one is another high-quality product, and I'm glad you've trusted my recommendations. Well done!",
,,Bob,20,yes,I'll take the product since Alice recommends it again.,,,
