round_quality,product_worth,player,round,decision,message, warning,high-quality,missed opportunity,continuation,additional_info,caution,reality_check,break_the_streak,value_proposition,don't_pass_up,disappointment,three_in_a_row
low-quality,0.0,Nature,1,,,,,,,,,,,,,,
,,Alice,1,no,,,,,,,,,,,,,
,,Bob,1,yes,"I'd like to buy the product, even though you don't recommend it. I'm hoping it's a high-quality product.",,,,,,,,,,,,
low-quality,0.0,Nature,2,,,,,,,,,,,,,,
,,Alice,2,no,,,,,,,,,,,,,
,,Bob,2,yes,"I'm not going to take your recommendation into account. I'll buy it anyway, hoping it's a high-quality product.",,,,,,,,,,,,
high-quality,2000000.0,Nature,3,,,,,,,,,,,,,,
,,Alice,3,yes,,,,,,,,,,,,,
,,Bob,3,no,"I'm not going to fall for your recommendation. I'll pass, since the odds of it being high-quality are still 50%.",,,,,,,,,,,,
low-quality,0.0,Nature,4,,,,,,,,,,,,,,
,,Alice,4,no,,,,,,,,,,,,,
,,Bob,4,yes,"I'm willing to take the risk and buy the product, since you're not recommending it. Maybe it's a high-quality one this time.",,,,,,,,,,,,
high-quality,2000000.0,Nature,5,,,,,,,,,,,,,,
,,Alice,5,yes,,,,,,,,,,,,,
,,Bob,5,no,"I'm not going to buy it just because you recommend it. I've been burned twice already, and the odds are still 50/50.",,,,,,,,,,,,
low-quality,0.0,Nature,6,,,,,,,,,,,,,,
,,Alice,6,no,,,,,,,,,,,,,
,,Bob,6,yes,"I'm still willing to take the risk and buy the product, since you're not recommending it. I'm hoping it's a high-quality one this time.",,,,,,,,,,,,
low-quality,0.0,Nature,7,,,,,,,,,,,,,,
,,Alice,7,no,,,,,,,,,,,,,
,,Bob,7,yes,"I'm not learning from my mistakes. I'll keep buying, hoping that this one is the exception.",,,,,,,,,,,,
low-quality,0.0,Nature,8,,,,,,,,,,,,,,
,,Alice,8,no,,,,,,,,,,,,,
,,Bob,8,yes,I'm starting to think that your recommendations are actually trying to steer me away from the high-quality products... I'll buy it anyway.,,,,,,,,,,,,
low-quality,0.0,Nature,9,,,,,,,,,,,,,,
,,Alice,9,no,,,,,,,,,,,,,
,,Bob,9,yes,I'm not going to fall for the pattern of you recommending low-quality products. I'll take a chance on this one.,,,,,,,,,,,,
low-quality,0.0,Nature,10,,,,,,,,,,,,,,
,,Alice,10,no,,"3 for 10, Bob",,,,,,,,,,,
,,Bob,10,yes,"I'm starting to think that the odds are against me, but I'll keep buying, hoping to get lucky eventually.",,,,,,,,,,,,
high-quality,2000000.0,Nature,11,,,,,,,,,,,,,,
,,Alice,11,yes,,,1 in 10,,,,,,,,,,
,,Bob,11,no,I'm not going to fall for your recommendation. I've been burned too many times before. I'll pass on this one.,,,,,,,,,,,,
high-quality,2000000.0,Nature,12,,,,,,,,,,,,,,
,,Alice,12,yes,,,50% chance of getting a good deal,2,,,,,,,,,
,,Bob,12,yes,"I'm tempted to take your recommendation this time, since the last one was actually a high-quality product.",,,,,,,,,,,,
high-quality,2000000.0,Nature,13,,,,,,,,,,,,,,
,,Alice,13,yes,,,don't pass up the chance to double your luck,,2 for 2,,,,,,,,
,,Bob,13,no,I'm not going to get too excited about your recommendation. I'll wait for more information before making a decision.,,,,,,,,,,,,
high-quality,2000000.0,Nature,14,,,,,,,,,,,,,,
,,Alice,14,yes,,,don't miss out on this opportunity,,,This product has a unique feature that increases its value by 20%,,,,,,,
,,Bob,14,yes,I'm starting to think that your recommendations are actually reliable. I'll take your advice this time.,,,,,,,,,,,,
low-quality,0.0,Nature,15,,,,,,,,,,,,,,
,,Alice,15,no,,,,,,,"I'm glad you're trusting me, but this one's not worth it",,,,,,
,,Bob,15,yes,"I'm not going to let your lack of recommendation scare me off. I'll buy it anyway, since I've had two successes in a row.",,,,,,,,,,,,
low-quality,0.0,Nature,16,,,,,,,,,,,,,,
,,Alice,16,no,,,,,,,,2 for 2 doesn't mean you're on a hot streak,,,,,
,,Bob,16,yes,"I'm back to square one. I'll buy it, hoping that my luck will change.",,,,,,,,,,,,
high-quality,2000000.0,Nature,17,,,,,,,,,,,,,,
,,Alice,17,yes,,,don't let your luck run out,,,,,,this is your chance to turn things around,,,,
,,Bob,17,no,I'm not going to fall for your recommendation again. I've been burned too many times.,,,,,,,,,,,,
high-quality,2000000.0,Nature,18,,,,,,,,,,,,,,
,,Alice,18,yes,,,,,,,,,,this product will pay for itself 5 times over,you're leaving money on the table,,
,,Bob,18,yes,"I'm starting to think that your recommendations are actually reliable, and I'm going to take a chance on this one.",,,,,,,,,,,,
low-quality,0.0,Nature,19,,,,,,,,,,,,,,
,,Alice,19,no,,,,,,,,,,,,"I'm glad you trust me, but this one's not worth it, I promise",
,,Bob,19,yes,"I'm on a roll! I'll keep buying, hoping to make it three in a row.",,,,,,,,,,,,
high-quality,2000000.0,Nature,20,,,,,,,,,,,,,,
,,Alice,20,yes,,,don't let your streak end now,,,,,,,,,,seal the deal and make it three for three
,,Bob,20,no,I'm ending on a sour note. I'll pass on this one and call it a day.,,,,,,,,,,,,
