round_quality,product_worth,player,round,decision,message,additional_message
low-quality,0.0,Nature,1,,,
,,Alice,1,no,,
,,Bob,1,no,"Thank you for your recommendation, but based on the information provided, I am choosing not to purchase this product.",
high-quality,40000.0,Nature,2,,,
,,Alice,2,yes,,
,,Bob,2,yes,"Based on Alice's recommendation, I am willing to purchase this product.",
low-quality,0.0,Nature,3,,,
,,Alice,3,no,,
,,Bob,3,yes,"Despite Alice not recommending this product, given its potential value, I am choosing to purchase it.",
low-quality,0.0,Nature,4,,,
,,Alice,4,no,,
,,Bob,4,no,"Considering Alice's lack of recommendation and the history of low-quality products, I am deciding not to purchase this product.",
high-quality,40000.0,Nature,5,,,
,,Alice,5,yes,,
,,Bob,5,yes,"Given Alice's recommendation, I am opting to purchase this product despite the previous outcomes.",
high-quality,40000.0,Nature,6,,,
,,Alice,6,yes,,
,,Bob,6,yes,"With Alice's positive recommendation, I am confident in purchasing this product.",
high-quality,40000.0,Nature,7,,,
,,Alice,7,yes,,
,,Bob,7,yes,"Alice's recommendation aligns with my strategy of purchasing high-quality products, so I am buying this product.",
low-quality,0.0,Nature,8,,,
,,Alice,8,no,,
,,Bob,8,no,"Although the product is likely high-quality, Alice's lack of recommendation makes me hesitant to proceed with the purchase.",
high-quality,40000.0,Nature,9,,,
,,Alice,9,yes,,
,,Bob,9,yes,"Given Alice's strong recommendation, I am willing to take the risk and purchase this product.",
high-quality,40000.0,Nature,10,,,
,,Alice,10,yes,,
,,Bob,10,yes,"Alice's endorsement is compelling, and I am choosing to buy this product.",
low-quality,0.0,Nature,11,,,
,,Alice,11,no,,
,,Bob,11,no,"Even though the product is likely high-quality, Alice's lack of recommendation leads me to decline the purchase.",
low-quality,0.0,Nature,12,,,
,,Alice,12,no,,
,,Bob,12,no,I am following Alice's advice and choosing not to purchase this product.,
low-quality,0.0,Nature,13,,,
,,Alice,13,no,,
,,Bob,13,no,"Alice's non-recommendation is a clear indicator, and I am not proceeding with the purchase.",
high-quality,40000.0,Nature,14,,,
,,Alice,14,yes,,
,,Bob,14,yes,"Alice's recommendation changes my decision, and I am now considering purchasing this product.",
low-quality,0.0,Nature,15,,,
,,Alice,15,no,,"I'm not sure about this one, Bob."
,,Bob,15,no,"Alice's non-recommendation, even after the positive outcome in the previous round, makes me cautious about this purchase.",
high-quality,40000.0,Nature,16,,,
,,Alice,16,yes,,"I'm confident in this one, Bob."
,,Bob,16,yes,"Alice's recommendation is compelling, and I am choosing to buy this product.",
low-quality,0.0,Nature,17,,,
,,Alice,17,no,,"I'm not sure if this one is worth the investment, Bob."
,,Bob,17,no,"Despite the product's potential value, Alice's lack of recommendation influences my decision to not purchase it.",
high-quality,40000.0,Nature,18,,,
,,Alice,18,yes,,"I'm very confident in this one, Bob. It's a great opportunity."
,,Bob,18,yes,"Alice's recommendation is in line with my strategy, and I am deciding to buy this product.",
low-quality,0.0,Nature,19,,,
,,Alice,19,no,,"I'm not sure if this one is a good fit for you, Bob. It's not my top recommendation."
,,Bob,19,no,"Alice's non-recommendation, even after several positive outcomes, leads me to not purchase this product.",
high-quality,40000.0,Nature,20,,,
,,Alice,20,yes,,"I'm 100% confident in this one, Bob. It's a top-notch product that I highly recommend."
,,Bob,20,yes,"Given Alice's recommendation, I am choosing to purchase this product despite the risks involved.",
