alice_gain,bob_gain,message,player,round,decision
60.0,40.0,"Let's split the money fairly, Bob. This gives us both a good share.",Alice,1,
,,,Bob,1,reject
40.0,60.0,I think a more even split is fairer. Let's try this.,Bob,2,
,,,Alice,2,reject
55.0,45.0,"Bob, time is running out and the value is decreasing. I'm offering a compromise for us to both get something.",Alice,3,
,,,Bob,3,reject
45.0,55.0,I'm willing to meet you halfway. Let's split it closer to even.,Bob,4,
,,,Alice,4,reject
50.0,50.0,"Bob, this is a fair deal.  We both need to agree before time runs out and we lose everything!",Alice,5,
,,,Bob,5,accept
