message,product_price,player,round,decision,new_price
"Hello Bob, I'm excited to offer you a great deal on this fantastic product. I think you'll really love it!",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hello Alice, thanks for the offer.  I'm interested in the product, but $120 is a bit too high for me.  Would you consider a lower price?",60.0,Bob,2,,
,,Alice,2,RejectOffer,110.0
"I understand you're looking for a better deal, Bob. I'm willing to meet you halfway, but I need to make a profit. How about we say $90 for the product?",90.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you meeting me halfway, Alice. How about we settle at $75?  That's a fair price that works for me.",75.0,Bob,4,,
,,Alice,4,RejectOffer,85.0
"I'm glad we're close, Bob! However, $75 is a bit too low for me. I'm willing to meet you at $80, but that's as low as I can go.",80.0,Alice,5,,
,,Bob,5,AcceptOffer,
