message,product_price,player,round,decision,new_offer
"Hi Bob, I'm excited to offer you this amazing product for sale. I think you'll really love it!",110.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thanks for the offer!  I'm interested, but $110 is a bit higher than I'd like to pay.  Would you consider $105?  I think that's a fair price for both of us.",105.0,Bob,2,,
,,Alice,2,RejectOffer,115.0
"I understand you're looking to save a bit, Bob, but I've got to make a profit too. I can meet you in the middle at $112.50. What do you think?",112.5,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate you meeting me halfway, but I'm still a bit hesitant at $112.50.  How about we settle at $110?  That's a good price for both of us, and I'm ready to buy it right now.",110.0,Bob,4,,
,,Alice,4,RejectOffer,112.5
"I'm not willing to go back to $112.50, Bob. I think we were close, and I'm willing to meet you at $111.50. That's the lowest I can go",111.5,Alice,5,,
,,Bob,5,BuyFromJhon,
