message,product_price,player,round,decision,new_price
"Hello Bob, I'm excited to show you this amazing product! I'm willing to let it go for $180.",180.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer Alice, but $180 is a bit steep for me.  I'm willing to pay $140 for it.  What do you think?",140.0,Bob,2,,
,,Alice,2,RejectOffer,160.0
"I understand you're looking for a better deal, Bob. I'm willing to meet you halfway, but I need to make a profit. I'm willing to sell it to you for $160.",160.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate your willingness to compromise, but $160 is still a bit more than I'm comfortable with. Let's split the difference and go with $150.  It's a fair price for both of us.",150.0,Bob,4,,
,,Alice,4,RejectOffer,
"I'm glad we're close, Bob, but I'm not willing to sell at $150. I'm willing to meet you at $155, but that's as low as I can go.",155.0,Alice,5,,
,,Bob,5,RejectOffer,
"Alice, I'm really trying to make this work, but $155 is still a bit more than I'm willing to pay.  How about $152?  I'm sure we can find common ground here.",152.0,Bob,6,,
,,Alice,6,RejectOffer,
"I appreciate your persistence, Bob, but I'm not willing to budge much further. I'll meet you at $157.50, but that's as low as I can go.",157.5,Alice,7,,
,,Bob,7,BuyFromJhon,
