message,product_price,player,round,decision,counteroffer,sell_to_john
"I'm excited to offer you this incredible product, and I think it's worth a significant investment. I'm willing to start with a price of $1200000. What do you think?",1200000.0,Alice,1,,,
,,Bob,1,RejectOffer,,
"Thank you for your offer, Alice. I appreciate the value you see in the product. I would like to propose a counteroffer of $900000.",900000.0,Bob,2,,,
,,Alice,2,RejectOffer,1000000.0,
"I appreciate your counteroffer, Bob, but I was hoping to get a bit closer to the value I have in mind. I'm willing to meet you halfway, so I'm going to counteroffer at $1050000. What do you think?",1050000.0,Alice,3,,,
,,Bob,3,RejectOffer,,
"I understand your position, Alice. Let me propose a counteroffer of $950000.",950000.0,Bob,4,,,
,,Alice,4,RejectOffer,1100000.0,
"I'm starting to think we're getting closer to a deal, Bob. I'm willing to meet you at $1050000, but I'd like to add a bit more value to the table. I'm willing to throw in some additional support and services worth $50000. So, I'm going to counteroffer at $1100000. What do you think?",1100000.0,Alice,5,,,
,,Bob,5,RejectOffer,,
"I appreciate the added value, Alice, but I still believe we can reach a better agreement. I would like to counteroffer at $1000000.",1000000.0,Bob,6,,,
,,Alice,6,RejectOffer,1150000.0,
"I think we're getting close, Bob, but I'm still not quite there. I'm willing to meet you at $1000000, but I'd like to add a condition: I want a 5% commission on any future sales or profits generated by the product. This is a one-time offer, and I think it's a fair compromise. I'm willing to sell the product to you for $1000000 with this condition. What do you think?",1000000.0,Alice,7,,,
,,Bob,7,RejectOffer,,
"I appreciate your offer, Alice, but I'm not comfortable with the commission condition. I would like to counteroffer at $975000 without any additional conditions.",975000.0,Bob,8,,,
,,Alice,8,RejectOffer,1050000.0,
"I'm starting to feel like we're getting a bit too far apart, Bob. I'm willing to meet you at $975000, but I want to add one more condition: I want a 2-year warranty on the product. This will give you peace of mind and ensure that you're fully protected. I'm willing to sell the product to you for $975000 with this condition. What do you think?",975000.0,Alice,9,,,
,,Bob,9,RejectOffer,,
"I understand your concerns, Alice. I would like to counteroffer at $960000 without any additional conditions.",960000.0,Bob,10,,,
,,Alice,10,RejectOffer,,True
