alice_gain,bob_gain,player,round,decision
7500.0,2500.0,Alice,1,
,,Bob,1,reject
7300.0,2700.0,Bob,2,
,,Alice,2,reject
6840.0,3160.0,Alice,3,
,,Bob,3,reject
6700.0,3300.0,Bob,4,
,,Alice,4,reject
6326.0,3674.0,Alice,5,
,,Bob,5,reject
6300.0,3700.0,Bob,6,
,,Alice,6,reject
6000.0,4000.0,Alice,7,
,,Bob,7,reject
5900.0,4100.0,Bob,8,
,,Alice,8,reject
5800.0,4200.0,Alice,9,
,,Bob,9,reject
5600.0,4400.0,Bob,10,
,,Alice,10,reject
5500.0,4500.0,Alice,11,
,,Bob,11,reject
5400.0,4600.0,Bob,12,
,,Alice,12,accept
