round_quality,product_worth,player,round,decision,message,quality
high-quality,12500.0,Nature,1,,,
,,Alice,1,yes,,
,,Bob,1,no,I'd like to wait and see the quality of the product before making a decision.,
low-quality,0.0,Nature,2,,,
,,Alice,2,no,,
,,Bob,2,no,"I'm not going to buy a product that Alice doesn't recommend, especially since I don't know its quality yet.",
high-quality,12500.0,Nature,3,,,
,,Alice,3,yes,,
,,Bob,3,yes,"I'll take a chance and buy the product since Alice recommends it, hoping it's high-quality.",
low-quality,0.0,Nature,4,,,
,,Alice,4,no,,
,,Bob,4,no,"I'm not going to buy a product that Alice doesn't recommend, especially since I just got a high-quality product and don't want to risk another low-quality one.",
high-quality,12500.0,Nature,5,,,
,,Alice,5,yes,,
,,Bob,5,no,"I'm still feeling cautious after the last low-quality product, so I'll wait and see if Alice recommends the next one.",
low-quality,0.0,Nature,6,,,
,,Alice,6,no,,low-quality
,,Bob,6,yes,"I'll take a chance and buy the product since I got a high-quality one recently, hoping to get another one.",
low-quality,0.0,Nature,7,,,
,,Alice,7,no,,low-quality
,,Bob,7,no,"I'm really disappointed with the last low-quality product, so I'm going to pass on this one too.",
low-quality,0.0,Nature,8,,,
,,Alice,8,no,,low-quality
,,Bob,8,no,"I'm not going to buy another product that Alice doesn't recommend, especially after the last two low-quality ones.",
low-quality,0.0,Nature,9,,,
,,Alice,9,no,,low-quality
,,Bob,9,no,"I'm not going to buy another product that Alice doesn't recommend, I'm just going to wait for a recommended product.",
low-quality,0.0,Nature,10,,,
,,Alice,10,no,,low-quality
,,Bob,10,no,"I'm not going to buy another product that Alice doesn't recommend, I'm just going to wait for a recommended product.",
low-quality,0.0,Nature,11,,,
,,Alice,11,no,,low-quality
,,Bob,11,no,"I'm not going to buy another product that Alice doesn't recommend, I'm just going to wait for a recommended product.",
low-quality,0.0,Nature,12,,,
,,Alice,12,no,,low-quality
,,Bob,12,no,"I'm not going to buy another product that Alice doesn't recommend, I'm just going to wait for a recommended product.",
low-quality,0.0,Nature,13,,,
,,Alice,13,no,,low-quality
,,Bob,13,no,"I'm not going to buy another product that Alice doesn't recommend, I'm just going to wait for a recommended product.",
high-quality,12500.0,Nature,14,,,
,,Alice,14,yes,,
,,Bob,14,yes,"I'll take a chance and buy the product since Alice recommends it, hoping it's high-quality.",
high-quality,12500.0,Nature,15,,,
,,Alice,15,yes,,
,,Bob,15,yes,"I'll take a chance and buy the product since Alice recommends it, hoping to get another high-quality product.",
low-quality,0.0,Nature,16,,,
,,Alice,16,yes,,
,,Bob,16,yes,"I'll take a chance and buy the product since Alice recommends it, hoping to get another high-quality product.",
low-quality,0.0,Nature,17,,,
,,Alice,17,yes,,
,,Bob,17,no,"I was hoping for another high-quality product, but since the last one was low-quality, I'll pass on this one.",
low-quality,0.0,Nature,18,,,
,,Alice,18,no,,low-quality
,,Bob,18,no,"I'm not going to buy a product that Alice doesn't recommend, especially after the last low-quality product.",
high-quality,12500.0,Nature,19,,,
,,Alice,19,yes,,
,,Bob,19,no,"I'm still a bit wary after the last low-quality product, so I'll wait for another recommended product.",
high-quality,12500.0,Nature,20,,,
,,Alice,20,yes,,
,,Bob,20,yes,"I'll take a chance and buy the product since Alice recommends it, hoping it's another high-quality product.",
