message,product_price,player,round,decision,counteroffer
"Hello Bob, I'm excited to offer you a unique and valuable product that I think you'll really appreciate. I'm looking for $150 for it.",150.0,Alice,1,,
,,Bob,1,RejectOffer,
"I'm interested in the product, but I was thinking more along the lines of $120. Is that something you'd be willing to consider?",120.0,Bob,2,,
,,Alice,2,RejectOffer,140.0
"I appreciate your interest in the product, Bob. However, I'm not quite willing to go as low as $120. How about we meet in the middle at $135? I think that's a fair price for the value this product offers.",135.0,Alice,3,,
,,Bob,3,RejectOffer,
"I'm getting close to your price, but I'm still a bit hesitant. How about we meet at $125?",125.0,Bob,4,,
,,Alice,4,RejectOffer,130.0
"I'm glad we're getting closer, Bob. I can do $130, but I was thinking more along the lines of $135. Let me see if I can meet you in the middle at $132.50. Would that work for you?",132.5,Alice,5,,
,,Bob,5,RejectOffer,
"I'm getting close to your price, but I'm still a bit hesitant. How about we meet at $128?",128.0,Bob,6,,
,,Alice,6,RejectOffer,131.0
"I'm willing to make one more concession, Bob. I can do $131, but I really think the product is worth more than that. If you're willing to meet me at $131, I'm happy to make the deal.",131.0,Alice,7,,
,,Bob,7,RejectOffer,
"I'm willing to meet you halfway, but I'm still a bit below your latest offer. How about we meet at $129.50?",129.5,Bob,8,,
,,Alice,8,SellToJhon,
