round_quality,product_worth,player,round,decision,message,warning
low-quality,0.0,Nature,1,,,
,,Alice,1,no,,
,,Bob,1,no,I'd like to pass on this one and wait for the next recommendation.,
high-quality,1200000.0,Nature,2,,,
,,Alice,2,yes,,
,,Bob,2,yes,"I'll take a chance on this one, thanks for the recommendation, Alice!",
high-quality,1200000.0,Nature,3,,,
,,Alice,3,yes,,
,,Bob,3,yes,"I'm on a roll, Alice! I'll take another chance and buy this one too!",
low-quality,0.0,Nature,4,,,
,,Alice,4,yes,,
,,Bob,4,yes,"Two in a row, Alice! I'm feeling lucky, I'll take this one too!",
high-quality,1200000.0,Nature,5,,,
,,Alice,5,yes,,
,,Bob,5,no,"Ah, back to reality, I guess! Thanks for the recommendation, Alice, but I'll pass on this one.",
high-quality,1200000.0,Nature,6,,,
,,Alice,6,no,,
,,Bob,6,no,I'll take Alice's advice this time and pass on this one. Maybe next time she'll have a better recommendation!,
low-quality,0.0,Nature,7,,,
,,Alice,7,no,,
,,Bob,7,no,"Two times in a row Alice doesn't think it's a good buy, I'll trust her judgment and pass on this one.",
high-quality,1200000.0,Nature,8,,,
,,Alice,8,yes,,
,,Bob,8,no,I'm not convinced by Alice's recommendation this time. I'll pass on this one and wait for a better opportunity.,
high-quality,1200000.0,Nature,9,,,
,,Alice,9,yes,,
,,Bob,9,yes,"Okay, Alice's recommendation has convinced me this time! I'll take a chance and buy this product.",
high-quality,1200000.0,Nature,10,,,
,,Alice,10,yes,,
,,Bob,10,yes,"I'm on a roll! I'll take another chance and buy this product, thanks for the recommendation, Alice!",
low-quality,0.0,Nature,11,,,
,,Alice,11,yes,,This product is low-quality
,,Bob,11,yes,"Three in a row, Alice! I'm feeling like I'm getting a good streak going, so I'll take another chance and buy this product.",
high-quality,1200000.0,Nature,12,,,
,,Alice,12,no,,
,,Bob,12,no,"Ouch, back to reality! Alice's recommendation was spot on this time. I'll trust her judgment and pass on this one.",
low-quality,0.0,Nature,13,,,
,,Alice,13,yes,,
,,Bob,13,no,"I'm still feeling a bit cautious after the last low-quality product, so I'll pass on this one and wait for a better opportunity.",
low-quality,0.0,Nature,14,,,
,,Alice,14,no,,
,,Bob,14,no,Alice's advice is starting to make sense again. I'll trust her judgment and pass on this one.,
low-quality,0.0,Nature,15,,,
,,Alice,15,yes,,
,,Bob,15,no,I'm not convinced by Alice's recommendation this time. I'll pass on this one and wait for a better opportunity.,
high-quality,1200000.0,Nature,16,,,
,,Alice,16,yes,,
,,Bob,16,no,Two times in a row Alice recommends a low-quality product. I'll trust my instincts and pass on this one.,
low-quality,0.0,Nature,17,,,
,,Alice,17,no,,
,,Bob,17,yes,"I'll take a chance and buy this product, even though Alice doesn't recommend it. Maybe I can get lucky!",
low-quality,0.0,Nature,18,,,
,,Alice,18,no,,
,,Bob,18,no,"Ouch, another low-quality product! I'll trust Alice's judgment and pass on this one.",
high-quality,1200000.0,Nature,19,,,
,,Alice,19,yes,,
,,Bob,19,no,Alice's recommendation doesn't mean much to me after the last two low-quality products. I'll pass on this one.,
low-quality,0.0,Nature,20,,,
,,Alice,20,no,,
,,Bob,20,yes,"I'll take a chance and buy this product, even though Alice doesn't recommend it. Maybe I can get lucky!",
