message,product_price,player,round,decision,counteroffer
"Bob, I'm offering you my product for $1100000.  It's a great deal for both of us, and I believe it's a fair price considering its value to you.  Let me know what you think!",1100000.0,Alice,1,,
,,Bob,1,RejectOffer,900000.0
"I appreciate your willingness to negotiate, but I'm still a bit above my budget. Can you meet me at $950000?",950000.0,Bob,2,,
,,Alice,2,RejectOffer,
"Bob, I appreciate your counteroffer, but $950000 is simply too low. I'm willing to come down a bit more, but I need to stay closer to my asking price.  I'm prepared to offer the product for $1050000. This price reflects the significant value you'll gain from it, and it's still a fair deal for both of us. Let's try to find a solution that works for both of us.",1050000.0,Alice,3,,
,,Bob,3,RejectOffer,975000.0
"I'm not sure about the extras, but I'm still not willing to pay $1000000. Can you throw in some more extras or consider a price reduction to $975000?",975000.0,Bob,4,,
,,Alice,4,RejectOffer,
"Bob, I understand your concerns about the price. However, I'm still confident that this product is a valuable investment for you. Let's meet in the middle. I'm willing to offer the product for $1025000. This is a fair price considering its value to you, and it allows us to reach a mutually beneficial agreement.  What do you say?",1025000.0,Alice,5,,
,,Bob,5,RejectOffer,980000.0
I'm still not willing to pay $1000000. I think we can do better than that. Can you consider $985000?,985000.0,Bob,6,,
,,Alice,6,SellToJhon,
