alice_gain,bob_gain,player,round,decision
500000.0,500000.0,Alice,1,
,,Bob,1,reject
400000.0,600000.0,Bob,2,
,,Alice,2,reject
480000.0,520000.0,Alice,3,
,,Bob,3,reject
450000.0,550000.0,Bob,4,
,,Alice,4,reject
460800.0,539200.0,Alice,5,
,,Bob,5,reject
430000.0,570000.0,Bob,6,
,,Alice,6,reject
473280.0,526720.0,Alice,7,
,,Bob,7,reject
415000.0,585000.0,Bob,8,
,,Alice,8,reject
492224.0,507776.0,Alice,9,
,,Bob,9,reject
400000.0,600000.0,Bob,10,
,,Alice,10,reject
513664.0,486336.0,Alice,11,
,,Bob,11,accept
