message,product_price,player,round,decision,counteroffer
"Hi Bob, I'm interested in selling you this great product. I think you'll really like it!",180.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thanks for the offer! I'm interested but $180 is a bit higher than I'm willing to pay. How about $120? ",120.0,Bob,2,,
,,Alice,2,RejectOffer,160.0
"I understand you're looking for a better price, but I'm not willing to go as low as $120. How about we meet in the middle at $160?",160.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate you coming down a bit, but $160 is still a bit high for me.  I'm willing to go to $140.  Let's see if we can reach an agreement.",140.0,Bob,4,,
,,Alice,4,RejectOffer,155.0
"I'm getting close to your price, but I still need to make a profit. How about we meet at $155?",155.0,Alice,5,,
,,Bob,5,BuyFromJhon,
