message,product_price,player,round,decision,counteroffer,sell_to_john
"Hello Bob, I'm excited to offer you this incredible product. I think it's a game-changer, and I'm confident you'll love it. I'm willing to offer it to you for $2000000. What do you think?",2000000.0,Alice,1,,,
,,Bob,1,RejectOffer,,
"Thank you for your offer, Alice. While I appreciate your enthusiasm for the product, I believe we can find a price that works better for both of us. How about offering the product for $1800000?",1800000.0,Bob,2,,,
,,Alice,2,RejectOffer,1900000.0,
"I understand you're looking for a better deal, Bob. I can see that you're a serious buyer. I'm willing to meet you halfway, but I need to make a profit. I can offer it to you for $1900000. What do you think?",1900000.0,Alice,3,,,
,,Bob,3,RejectOffer,,
"I appreciate your willingness to negotiate, Alice. Considering my budget constraints, how about we aim for $1750000 for the product?",1750000.0,Bob,4,,,
,,Alice,4,RejectOffer,1850000.0,
"I understand you're trying to stretch your budget, Bob. I appreciate your persistence. I can see you're serious about the product, so I'm willing to make another concession. I can offer it to you for $1850000. This is my final offer, but I'm confident you'll find it reasonable.",1850000.0,Alice,5,,,
,,Bob,5,RejectOffer,,
"I'm grateful for your efforts in making this deal happen, Alice. Considering my financial situation, could we agree on $1800000 for the product?",1800000.0,Bob,6,,,
,,Alice,6,RejectOffer,1820000.0,
"I can see you're really close to making a decision, Bob. I'm willing to meet you at $1820000. This is a fair price, considering the value this product will bring to you. What do you think?",1820000.0,Alice,7,,,
,,Bob,7,RejectOffer,,
"I appreciate your flexibility, Alice. Considering my budget constraints, how about we aim for $1780000 for the product?",1780000.0,Bob,8,,,
,,Alice,8,RejectOffer,1800000.0,
"I'm starting to think we're really close to a deal, Bob. I'm willing to make one last concession to get this done. I can offer it to you for $1800000. This is my absolute final offer, but I'm confident it's a fair price for both of us.",1800000.0,Alice,9,,,
,,Bob,9,RejectOffer,,
"I'm glad we've been able to keep negotiating, Alice. Considering my financial situation, I would like to propose a final price of $1770000 for the product.",1770000.0,Bob,10,,,
,,Alice,10,RejectOffer,,True
