message,product_price,player,round,decision,additional_fee
"Hello Bob, I'm excited to offer you this incredible product! It's a one-of-a-kind opportunity to own something truly unique. I'm willing to sell it to you for $1200000. I believe this is a fair price considering its value and rarity.",1200000.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thank you for offering me the product, Alice. I appreciate the uniqueness of the item. However, given my budget constraints, I am unable to pay the full asking price. Would you consider lowering the price to $950000?",950000.0,Bob,2,,
,,Alice,2,RejectOffer,
"Thank you for your offer, Bob. I understand your budget constraints, but I'm afraid $950000 is still a bit below my minimum threshold. However, I'm willing to compromise. I can offer you the product for $1100000. This is a significant discount from my original price, and I believe it's a fair price considering the product's value.",1100000.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate your willingness to negotiate, Alice. Considering the product's value and my budget, I would like to propose a price of $1050000. I hope this meets somewhere in the middle for us.",1050000.0,Bob,4,,
,,Alice,4,RejectOffer,
"Thank you for your offer, Bob. I appreciate your willingness to meet me in the middle. However, I'm still not comfortable going below $1100000. I'm willing to make one more compromise. I can offer you the product for $1070000. This is as low as I'm willing to go, and I believe it's still a fair price considering the product's value.",1070000.0,Alice,5,,
,,Bob,5,RejectOffer,
"Thank you for your continued willingness to negotiate, Alice. I appreciate your efforts to find a mutually agreeable price. Considering the product's value and my budget constraints, I would like to propose a price of $1060000. I hope this proposal helps us reach an agreement.",1060000.0,Bob,6,,
,,Alice,6,RejectOffer,
"Thank you for your offer, Bob. I appreciate your persistence in finding a mutually agreeable price. However, I'm still not comfortable going below $1070000. I'm willing to make one more compromise. I can offer you the product for $1060000, but only if you agree to a small additional fee of $10000. This will cover some of the costs associated with the product's maintenance and upkeep.",1060000.0,Alice,7,,10000.0
,,Bob,7,RejectOffer,
"Thank you for your offer, Alice. I appreciate your efforts to accommodate my budget constraints. Considering the product's value and the additional fee, I would like to propose a price of $1055000. I hope this proposal helps us reach an agreement.",1055000.0,Bob,8,,
,,Alice,8,RejectOffer,
"Thank you for your offer, Bob. I appreciate your persistence in finding a mutually agreeable price. However, I'm still not comfortable going below $1070000. I'm willing to make one more compromise. I can offer you the product for $1055000, but only if you agree to a small additional fee of $15000. This will cover some of the costs associated with the product's maintenance and upkeep.",1055000.0,Alice,9,,15000.0
,,Bob,9,RejectOffer,
"Thank you for your offer, Alice. I appreciate your efforts to find a mutually agreeable price. Considering the product's value and the additional fee, I would like to propose a price of $1050000. I hope this proposal helps us reach an agreement.",1050000.0,Bob,10,,
,,Alice,10,SellToJhon,
