message,product_price,player,round,decision,counteroffer
"Hello Bob, I'm excited to offer you this amazing product. I think you'll really love it! I'm willing to let it go for $180.",180.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thanks for the offer, but that's a bit steep for me.  Would you consider $110?",110.0,Bob,2,,
,,Alice,2,RejectOffer,140.0
"I understand you want a good deal, Bob, but I have to make a living. I can do $160, but that's as low as I can go.",160.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate you working with me. How about we split the difference and I pay $135?",135.0,Bob,4,,
,,Alice,4,RejectOffer,155.0
"I can see you're serious about getting a good deal, Bob. I'm willing to meet you halfway, but I need to make a profit. How about we settle on $152.50?",152.5,Alice,5,,
,,Bob,5,BuyFromJhon,
