alice_gain,bob_gain,player,round,decision
60.0,40.0,Alice,1,
,,Bob,1,reject
50.0,50.0,Bob,2,
,,Alice,2,reject
55.0,45.0,Alice,3,
,,Bob,3,reject
40.0,60.0,Bob,4,
,,Alice,4,reject
58.0,42.0,Alice,5,
,,Bob,5,reject
20.0,80.0,Bob,6,
,,Alice,6,reject
62.0,38.0,Alice,7,
,,Bob,7,reject
10.0,90.0,Bob,8,
,,Alice,8,reject
65.0,35.0,Alice,9,
,,Bob,9,reject
5.0,95.0,Bob,10,
,,Alice,10,reject
68.0,32.0,Alice,11,
,,Bob,11,reject
1.0,99.0,Bob,12,
,,Alice,12,reject
70.0,30.0,Alice,13,
,,Bob,13,reject
0.5,99.5,Bob,14,
,,Alice,14,reject
72.0,28.0,Alice,15,
,,Bob,15,reject
0.1,99.9,Bob,16,
,,Alice,16,reject
74.0,26.0,Alice,17,
,,Bob,17,reject
0.01,99.99,Bob,18,
,,Alice,18,reject
76.0,24.0,Alice,19,
,,Bob,19,reject
0.0,100.0,Bob,20,
,,Alice,20,accept
