message,product_price,player,round,decision,counteroffer,action
"Hello Bob, I'm excited to offer you this incredible product! I think it's a game-changer and I'm confident you'll love it. I'm willing to sell it to you for $14000. What do you think?",14000.0,Alice,1,,,
,,Bob,1,RejectOffer,12000.0,
"I appreciate your enthusiasm for the product, Alice! I'm interested in purchasing it, but I was thinking more along the lines of $12000. Would you be willing to meet me at that price?",12000.0,Bob,2,,,
,,Alice,2,RejectOffer,,
"Thanks for your offer, Bob! I understand that $12000 is a good price, but I was really hoping to get a bit more for this amazing product. I'm willing to meet you halfway and offer it to you for $13000. What do you think?",13000.0,Alice,3,,,
,,Bob,3,RejectOffer,11000.0,
"I appreciate your willingness to meet me halfway, Alice, but I'm still a bit too high on the price. I'd be willing to go up to $11000. Would you be willing to sell it to me at that price?",11000.0,Bob,4,,,
,,Alice,4,RejectOffer,,
"I understand that you're trying to get the best deal, Bob! I'm willing to make one more concession. I can offer it to you for $12500. It's a great compromise, and I think you'll really love the product. What do you think?",12500.0,Alice,5,,,
,,Bob,5,RejectOffer,,BuyFromJohn
"I appreciate your willingness to make concessions, Alice, but I'm still not comfortable with the price. I'm willing to meet you at $12000. This is my final offer, and I'm not willing to go any higher. Would you be willing to sell it to me at this price?",12000.0,Bob,6,,,
,,Alice,6,SellToJhon,,
