alice_gain,bob_gain,player,round,decision
600000.0,400000.0,Alice,1,
,,Bob,1,reject
500000.0,500000.0,Bob,2,
,,Alice,2,reject
700000.0,300000.0,Alice,3,
,,Bob,3,reject
568000.0,432000.0,Bob,4,
,,Alice,4,reject
800000.0,200000.0,Alice,5,
,,Bob,5,reject
641681.0,358319.0,Bob,6,
,,Alice,6,reject
850000.0,150000.0,Alice,7,
,,Bob,7,reject
685428.0,314572.0,Bob,8,
,,Alice,8,reject
900000.0,100000.0,Alice,9,
,,Bob,9,reject
721487.0,278513.0,Bob,10,
,,Alice,10,reject
950000.0,50000.0,Alice,11,
,,Bob,11,reject
744359.0,255641.0,Bob,12,
,,Alice,12,accept
