message,product_price,player,round,decision,new_price
I'm excited to offer you a great deal on this amazing product! I think you'll love it.,120.0,Alice,1,,
,,Bob,1,RejectOffer,
"That's a bit high for me. I'm really interested in the product, but I'm only able to go up to $85 right now.  Let me know what you think.",85.0,Bob,2,,
,,Alice,2,RejectOffer,110.0
"I understand you're interested in the product, but I'm not willing to go as low as $85. I'm willing to meet you halfway at $105.",105.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you coming down, but $105 is still a bit more than I'm comfortable with.  How about $90?  That's a fair compromise, and it's the highest I can go.",90.0,Bob,4,,
,,Alice,4,RejectOffer,115.0
"I understand you're trying to find a fair price, but I'm not willing to go as low as $90. I'm willing to make another concession and meet you at $110.",110.0,Alice,5,,
,,Bob,5,BuyFromJhon,
