product_price,player,round,decision,counteroffer
12000.0,Alice,1,,
,Bob,1,RejectOffer,
9500.0,Bob,2,,
,Alice,2,RejectOffer,11000.0
10500.0,Alice,3,,
,Bob,3,RejectOffer,
9800.0,Bob,4,,
,Alice,4,RejectOffer,10400.0
10900.0,Alice,5,,
,Bob,5,RejectOffer,
9700.0,Bob,6,,
,Alice,6,RejectOffer,11050.0
11900.0,Alice,7,,
,Bob,7,RejectOffer,
9500.0,Bob,8,,
,Alice,8,RejectOffer,11700.0
11500.0,Alice,9,,
,Bob,9,RejectOffer,
9200.0,Bob,10,,
,Alice,10,RejectOffer,11200.0
11100.0,Alice,11,,
,Bob,11,RejectOffer,
9000.0,Bob,12,,
,Alice,12,RejectOffer,10900.0
10800.0,Alice,13,,
,Bob,13,RejectOffer,
9100.0,Bob,14,,
,Alice,14,RejectOffer,10700.0
10650.0,Alice,15,,
,Bob,15,RejectOffer,
9050.0,Bob,16,,
,Alice,16,RejectOffer,10600.0
10550.0,Alice,17,,
,Bob,17,RejectOffer,
9000.0,Bob,18,,
,Alice,18,RejectOffer,10500.0
10450.0,Alice,19,,
,Bob,19,RejectOffer,
8900.0,Bob,20,,
,Alice,20,RejectOffer,10400.0
10350.0,Alice,21,,
,Bob,21,RejectOffer,
8800.0,Bob,22,,
,Alice,22,RejectOffer,10300.0
10250.0,Alice,23,,
,Bob,23,RejectOffer,
8700.0,Bob,24,,
,Alice,24,RejectOffer,10200.0
10150.0,Alice,25,,
,Bob,25,RejectOffer,
8600.0,Bob,26,,
,Alice,26,RejectOffer,10100.0
10050.0,Alice,27,,
,Bob,27,RejectOffer,
8500.0,Bob,28,,
,Alice,28,RejectOffer,10000.0
10000.0,Alice,29,,
,Bob,29,AcceptOffer,
