message,product_price,player,round,decision,counteroffer,BuyFromJhon
"Hello Bob, I'm excited to offer you the opportunity to purchase this exceptional product. I believe it's a great fit for you, and I'm confident you'll love it. I'm willing to sell it to you for $1200000.",1200000.0,Alice,1,,,
,,Bob,1,RejectOffer,900000.0,
"I appreciate your enthusiasm for the product, but I'm a bit concerned about the price. I was thinking more along the lines of $900000. Would you be willing to meet me at this price?",900000.0,Bob,2,,,
,,Alice,2,RejectOffer,,
"I understand your concerns about the price, Bob, but I'm afraid $900000 is a bit too low for me. I'm willing to meet you halfway, though. I can offer it to you for $1000000. This is the best I can do, and I think it's a fair price considering the product's value.",1000000.0,Alice,3,,,
,,Bob,3,RejectOffer,950000.0,
"I appreciate your willingness to meet me halfway, Alice, but I'm still a bit short of my target. Would you be willing to come down to $950000? That's the maximum I'm willing to pay for this product.",950000.0,Bob,4,,,
,,Alice,4,RejectOffer,,
"I understand you're trying to reach your target, Bob, but I'm still not comfortable going below $1050000. I'm willing to make one more concession, but that's as low as I can go. I can offer it to you for $1025000. This is my final offer, and I hope we can come to an agreement.",1025000.0,Alice,5,,,
,,Bob,5,RejectOffer,,True
"I appreciate your willingness to make concessions, Alice, but I'm still not comfortable with the price. I'm willing to meet you at $980000. That's the closest I can get to my target without going over.",980000.0,Bob,6,,,
,,Alice,6,SellToJhon,,
