message,product_price,player,round,decision,new_price
"Hi Bob, I'm excited to show you this amazing product! I think you'll love it. I'm willing to let it go for $120.",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"I'm interested in the product, but I was thinking more along the lines of $100. Can you meet me halfway?",100.0,Bob,2,,
,,Alice,2,RejectOffer,110.0
"I can see you're interested in the product, Bob! I can do a bit better than $100, but I need to make a profit. How about we meet at $110?",110.0,Alice,3,,
,,Bob,3,RejectOffer,
"I'm still a bit hesitant about the price. Can you try to meet me at $105? I really like the product, but I'm on a tight budget.",105.0,Bob,4,,
,,Alice,4,RejectOffer,115.0
"I understand you're on a tight budget, Bob, but I've got to make a living! I can do $115, but that's as low as I can go. Let's meet in the middle at $115.",115.0,Alice,5,,
,,Bob,5,RejectOffer,
"I appreciate your willingness to negotiate, Alice. However, I'm still a bit above my budget. Can you try to meet me at $112? I'm willing to compromise, but I really need to stay within my budget.",112.0,Bob,6,,
,,Alice,6,RejectOffer,118.0
"I can see you're really interested in the product, Bob! I'm willing to make one more concession. How about we meet at $118? That's the lowest I can go without losing money.",118.0,Alice,7,,
,,Bob,7,RejectOffer,
"I understand you're trying to make a profit, Alice, but I'm still a bit above my budget. Can you try to meet me at $114? I'm willing to compromise, but I really need to stay within my budget.",114.0,Bob,8,,
,,Alice,8,RejectOffer,120.0
"I've already given you a lot of concessions, Bob! I'm not going to go any lower than my original offer of $120. If you're still interested, this is my final price. Otherwise, I'll have to consider other options.",120.0,Alice,9,,
,,Bob,9,BuyFromJhon,
